size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       39.69800      38.03900      38.62000      39.20100      39.76700      0.00000       150.05400     143.78000     145.97700     148.14600     150.31400     0.00000      
2048       26.74700      24.37100      23.10000      21.91300      22.59800      22.72500      101.09900     92.10200      87.31300      82.82600      85.40000      85.89700     
4096       18.24900      13.02800      11.09700      9.34700       8.79600       8.80200       68.97700      49.24400      41.93500      35.32500      33.24800      33.27000     
8192       10.24100      6.22300       5.64600       5.05400       4.91300       4.86500       38.70000      23.52200      21.34100      19.10200      18.57100      18.39100     
16384      4.98300       3.49200       3.20600       3.18900       3.18900       3.18700       18.83200      13.19500      12.11700      12.05300      12.05500      12.04800     
32768      3.01300       1.77600       1.66800       1.65000       1.65700       1.66000       11.38700      6.71500       6.31200       6.24100       6.27000       6.27900      
65536      1.48500       0.67900       0.48200       0.37500       0.33000       0.32500       5.61900       2.56900       1.82200       1.41800       1.24800       1.22800      
131072     0.49700       0.22500       0.08900       0.06400       0.06000       0.05900       1.88100       0.85100       0.33500       0.24200       0.22600       0.22400      
262144     0.11300       0.03900       0.02500       0.02500       0.02400       0.02400       0.42700       0.14800       0.09600       0.09300       0.09100       0.09200      
524288     0.05600       0.00400       0.00400       0.00500       0.00500       0.00500       0.21200       0.01500       0.01700       0.01700       0.01800       0.01900      
1048576    0.01000       0.00100       0.00000       0.00000       0.00000       0.00000       0.03800       0.00200       0.00100       0.00100       0.00100       0.00100      
2097152    0.00100       0.00000       0.00000       0.00000       0.00000       0.00000       0.00300       0.00100       0.00100       0.00100       0.00100       0.00100      
4194304    0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00100       0.00100       0.00100       0.00100       0.00100       0.00100      
8388608    0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00100       0.00100       0.00100       0.00100       0.00100       0.00100      
