size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       38.52900      33.29700      32.82600      31.34200      33.94100      0.00000       145.47700     125.99900     124.21800     118.60100     128.15600     0.00000      
2048       26.00300      20.30400      18.80800      16.67000      20.56600      30.75400      98.18200      76.83300      71.05400      63.08100      77.82300      116.37700    
4096       18.46400      11.57200      7.96800       7.95600       8.23800       17.68300      69.87000      43.69200      30.15300      30.07800      31.17400      66.76900     
8192       10.24800      6.78500       5.15300       4.84400       6.15900       7.16700       38.74200      25.65000      19.48100      18.31300      23.28500      27.06300     
16384      5.01600       3.04600       3.14900       3.22300       3.17400       4.25200       18.96400      11.51600      11.90500      12.18500      11.99900      16.07300     
32768      3.02400       1.48800       1.26500       1.20200       1.23000       1.16700       11.43300      5.62700       4.77600       4.53900       4.64800       4.41100      
65536      1.49100       0.58600       0.45400       0.48200       0.56900       0.63300       5.62900       2.21100       1.71400       1.82000       2.14800       2.39100      
131072     0.49900       0.21700       0.14300       0.20500       0.31500       0.42400       1.88500       0.82100       0.53900       0.77500       1.19100       1.59900      
262144     0.11300       0.04100       0.03100       0.03700       0.05200       0.08500       0.42600       0.15500       0.11700       0.13800       0.19500       0.32200      
524288     0.05800       0.00300       0.00300       0.00200       0.00200       0.00200       0.21900       0.01100       0.01000       0.00700       0.00700       0.00900      
1048576    0.01000       0.00000       0.00000       0.00000       0.00000       0.00000       0.03700       0.00200       0.00100       0.00100       0.00100       0.00100      
2097152    0.00100       0.00000       0.00000       0.00000       0.00000       0.00000       0.00300       0.00100       0.00100       0.00100       0.00100       0.00100      
4194304    0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00100       0.00100       0.00100       0.00100       0.00100       0.00100      
8388608    0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00100       0.00100       0.00100       0.00100       0.00100       0.00100      
