size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       38.51600      35.48200      35.40100      35.69900      34.82800      0.00000       145.50100     134.03800     133.73300     134.85800     131.56900     0.00000      
2048       25.97400      21.75800      19.77600      16.99400      16.79000      15.92000      98.11900      82.19300      74.70600      64.19600      63.42600      60.13900     
4096       18.47100      11.91400      8.20400       5.86000       5.18300       4.99300       69.77600      45.05300      31.02600      22.16200      19.60100      18.88300     
8192       10.27800      5.48300       4.45200       3.73200       3.66300       3.65600       38.86700      20.73700      16.83400      14.11200      13.85200      13.82500     
16384      5.04200       3.10800       2.65300       2.62300       2.62400       2.62400       19.06700      11.75300      10.03300      9.91800       9.92200       9.92400      
32768      3.03300       1.52700       1.40900       1.38400       1.38500       1.37700       11.45900      5.77800       5.32100       5.23600       5.23900       5.20100      
65536      1.49200       0.60300       0.43100       0.35000       0.31100       0.30800       5.64200       2.27900       1.62900       1.32100       1.17400       1.16200      
131072     0.49700       0.20400       0.07400       0.05000       0.04600       0.04400       1.87600       0.77000       0.27900       0.19000       0.17200       0.16700      
262144     0.11100       0.03500       0.02000       0.01800       0.01800       0.01800       0.42000       0.13300       0.07500       0.06900       0.06800       0.06800      
524288     0.05800       0.00300       0.00300       0.00200       0.00200       0.00200       0.22000       0.01200       0.01000       0.00700       0.00700       0.00700      
1048576    0.01000       0.00000       0.00000       0.00000       0.00000       0.00000       0.03700       0.00200       0.00100       0.00100       0.00100       0.00100      
2097152    0.00100       0.00000       0.00000       0.00000       0.00000       0.00000       0.00300       0.00100       0.00100       0.00100       0.00100       0.00100      
4194304    0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00100       0.00100       0.00100       0.00100       0.00100       0.00100      
8388608    0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00100       0.00100       0.00100       0.00100       0.00100       0.00100      
