size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       39.75200      37.27300      36.79900      37.41300      37.70300      0.00000       150.42200     141.04000     139.24600     141.57000     142.67000     0.00000      
2048       26.76100      23.43900      21.63400      20.18700      21.00200      22.41400      101.26500     88.69200      81.69200      76.38700      79.30600      84.64000     
4096       18.29300      13.05000      10.75600      9.34300       8.68200       8.71600       69.07900      49.27800      40.69900      35.35200      32.85300      32.98100     
8192       10.21100      6.21300       5.78200       5.18400       5.04400       4.96500       38.63700      23.51200      21.83500      19.61700      19.08600      18.78700     
16384      5.00200       3.56100       3.30300       3.25200       3.23600       3.21600       18.92800      13.47300      12.47200      12.30500      12.24400      12.17000     
32768      3.01700       1.80300       1.68900       1.65800       1.66800       1.66300       11.41700      6.82100       6.39300       6.26600       6.31300       6.28400      
65536      1.49200       0.67900       0.48500       0.38700       0.34700       0.33900       5.64600       2.56800       1.83500       1.46300       1.31000       1.28200      
131072     0.49800       0.22400       0.09400       0.07200       0.07000       0.06600       1.88100       0.84600       0.35500       0.27100       0.26400       0.25100      
262144     0.11400       0.04200       0.02700       0.02500       0.02500       0.02500       0.43000       0.15900       0.10200       0.09500       0.09500       0.09500      
524288     0.05700       0.00400       0.00400       0.00400       0.00500       0.00500       0.21700       0.01600       0.01700       0.01700       0.01800       0.01800      
1048576    0.01000       0.00100       0.00000       0.00000       0.00000       0.00000       0.03900       0.00300       0.00100       0.00100       0.00100       0.00100      
2097152    0.00100       0.00000       0.00000       0.00000       0.00000       0.00000       0.00200       0.00100       0.00100       0.00100       0.00100       0.00100      
4194304    0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00100       0.00100       0.00100       0.00100       0.00100       0.00100      
8388608    0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00100       0.00100       0.00100       0.00100       0.00100       0.00100      
