size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       29.35400      22.12500      21.75900      5.32700       24.80300      0.00000       88.84000      87.11700      85.67600      16.12400      97.66100      0.00000      
2048       15.42600      5.37200       1.50400       1.38300       17.01800      19.27300      46.68800      16.26000      4.55300       4.18400       67.00900      75.88700     
4096       14.35700      12.82500      12.67100      12.95700      0.41800       14.48700      43.45200      50.49800      49.89400      51.01900      1.26400       57.04300     
8192       11.16800      0.13900       0.14200       0.03000       11.83100      0.00100       33.80000      0.42200       0.43100       0.08900       46.58400      0.00200      
16384      10.97700      9.52200       9.74300       0.00100       0.00100       0.00100       33.22200      37.49200      38.36400      0.00200       0.00200       0.00200      
32768      9.38500       8.79400       0.00100       9.14400       0.00100       9.89800       36.95200      34.62500      0.00200       36.00500      0.00200       38.97300     
65536      8.62600       8.21100       0.00100       8.17800       8.49500       8.72100       33.96300      32.33100      0.00200       32.20200      33.44800      34.33900     
131072     0.15300       7.69100       7.60700       0.00000       7.62800       7.92300       0.46300       30.28200      29.95300      0.00100       30.03600      31.19800     
262144     7.45700       0.00000       7.14100       7.12000       7.12800       7.16500       29.36200      0.00100       28.12000      28.03400      28.06800      28.21200     
524288     6.98800       0.00000       6.71500       0.00000       0.00000       6.70000       27.51600      0.00100       26.43900      0.00100       0.00100       26.38300     
1048576    6.56000       0.00000       0.00000       0.00000       6.31200       6.31300       25.82900      0.00100       0.00100       0.00100       24.85300      24.85800     
2097152    6.18700       0.00000       0.00000       0.00000       24.36300      0.00100       0.00100       0.00100       0.00000       0.00000       0.00000       0.00000      
4194304    5.82200       5.71700       5.69300       5.68700       0.00000       22.92300      22.51200      22.41600      22.39400      0.00100       0.00000       0.00000      
8388608    5.40500       5.33000       0.00000       0.00000       0.00000       0.00000       21.28100      20.98600      0.00100       0.00100       0.00100       0.00100      
