size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       29.35400      8.43700       21.33200      20.60900      20.54100      0.00000       88.84000      25.53400      83.99400      81.14900      80.88100      0.00000      
2048       15.42600      18.57400      2.12200       16.10600      16.07800      16.37600      46.68800      73.13700      6.42200       63.41700      63.30900      64.48100     
4096       16.14300      12.58700      1.05400       0.72600       0.69200       10.50500      63.56200      49.56100      3.18900       2.19700       2.09400       41.36400     
8192       11.16800      10.52200      0.07600       9.85700       9.85800       0.00100       33.80000      41.42900      0.22900       38.81200      38.81700      0.00200      
16384      10.97700      9.51700       9.38500       0.00100       9.38500       0.00100       33.22200      37.47400      36.95400      0.00200       36.95500      0.00200      
32768      9.38500       8.90200       8.89000       0.00100       8.90700       8.90900       36.95400      35.05000      35.00700      0.00200       35.07100      35.07800     
65536      8.62600       0.00100       0.00100       8.39900       8.40800       8.41500       33.96300      0.00200       0.00200       33.07200      33.10700      33.13300     
131072     8.02200       7.89500       7.90100       7.91000       0.00000       0.00000       31.58600      31.08600      31.11000      31.14600      0.00100       0.00100      
262144     0.00000       7.41500       0.00000       7.43400       7.44000       0.00000       0.00100       29.19700      0.00100       29.27200      29.29500      0.00100      
524288     6.98800       0.00000       0.00000       6.98000       0.00000       6.98700       27.51600      0.00100       0.00100       27.48300      0.00100       27.51100     
1048576    0.00000       6.55900       6.56200       6.56700       6.57100       0.00000       0.00100       25.82700      25.83800      25.85900      25.87400      0.00100      
2097152    0.00000       6.19100       6.20200       6.20400       6.20700       0.00000       0.00100       24.37800      24.41900      24.42900      24.44000      0.00100      
4194304    5.82200       5.82000       5.83000       0.00000       5.84000       5.84100       22.92300      22.91500      22.95500      0.00100       22.99400      23.00000     
8388608    5.40500       0.00000       0.00000       0.00000       5.43900       0.00000       21.28100      0.00100       0.00100       0.00100       21.41700      0.00100      
