size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       29.35400      6.45500       14.38600      23.49800      27.87000      0.00000       88.84000      19.53500      43.54100      92.52500      109.73800     0.00000      
2048       15.42600      17.80700      17.32200      17.61400      18.78700      15.36200      46.68800      70.11700      68.20400      69.35400      73.97300      46.49500     
4096       16.14300      0.70600       0.63900       14.60700      0.62400       17.14600      63.56200      2.13700       1.93200       57.51600      1.88800       67.51500     
8192       11.16800      0.16300       0.18200       12.48700      0.00100       0.00100       33.80000      0.49300       0.55100       49.16700      0.00300       0.00300      
16384      10.97700      0.10300       9.80900       10.15700      11.84000      0.00100       33.22200      0.31100       38.62300      39.99400      46.61900      0.00300      
32768      0.20900       0.00100       8.80400       9.19100       9.51300       0.00100       0.63100       0.00200       34.66700      36.19100      37.45600      0.00200      
65536      0.16900       0.00100       0.00100       0.00100       0.00100       0.00100       0.51200       0.00200       0.00200       0.00200       0.00200       0.00200      
131072     0.15300       0.00000       0.00000       7.59600       0.00000       7.96000       0.46300       0.00100       0.00100       29.91000      0.00100       31.34400     
262144     7.45700       0.00000       0.00000       0.00000       0.00000       7.17000       29.36200      0.00100       0.00100       0.00100       0.00100       28.23400     
524288     6.98800       0.00000       0.00000       6.68900       0.00000       27.51600      0.00100       0.00100       26.33800      0.00100       0.00000       0.00000      
1048576    0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00100       0.00100       0.00100       0.00100       0.00100       0.00100      
2097152    6.18700       0.00000       0.00000       0.00000       0.00000       24.36300      0.00100       0.00100       0.00100       0.00100       0.00000       0.00000      
4194304    5.82200       0.00000       5.69800       0.00000       0.00000       0.00000       22.92300      0.00100       22.43500      0.00100       0.00100       0.00100      
8388608    5.40500       0.00000       0.00000       5.33800       0.00000       0.00000       21.28100      0.00100       0.00100       21.01800      0.00100       0.00100      
