size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       25.12200      22.23300      20.38000      19.87200      19.86800      0.00000       98.91900      87.54300      80.24600      78.24500      78.23000      0.00000      
2048       20.17600      18.25000      16.46300      15.62700      15.66900      15.82700      79.44400      71.85800      64.82500      61.53000      61.69700      62.32100     
4096       16.14300      12.34600      11.29900      10.66000      10.33900      10.22700      63.56200      48.61200      44.49000      41.97600      40.71000      40.27000     
8192       13.56600      10.34600      9.67100       9.47700       9.45500       9.44800       53.41600      40.73600      38.08000      37.31600      37.22800      37.20000     
16384      10.86400      9.35600       9.13900       9.10700       9.10300       9.10600       42.77700      36.83800      35.98700      35.86000      35.84300      35.85600     
32768      9.38500       8.73200       8.65200       8.63900       8.63300       8.62900       36.95200      34.38300      34.06900      34.01700      33.99300      33.97800     
65536      8.62600       8.20100       8.12300       8.09000       8.08100       8.07500       33.96300      32.29400      31.98300      31.85300      31.81800      31.79500     
131072     8.02200       7.70200       7.61600       7.57900       7.56200       7.55600       31.58600      30.32700      29.98700      29.84400      29.77400      29.75200     
262144     7.45700       7.22900       7.15900       7.12900       7.11700       7.11100       29.36200      28.46600      28.18700      28.06900      28.02200      27.99900     
524288     6.98800       6.79500       6.73100       6.70600       6.69600       6.69200       27.51600      26.75500      26.50200      26.40500      26.36500      26.34800     
1048576    6.56000       6.40900       6.34800       6.32300       6.31200       6.30700       25.82900      25.23400      24.99400      24.89500      24.85200      24.83300     
2097152    6.18700       6.05400       6.00600       5.98200       5.97100       5.96600       24.36300      23.83700      23.64900      23.55300      23.51100      23.49300     
4194304    5.82200       5.69100       5.64600       5.62700       5.61700       5.61300       22.92300      22.41000      22.23300      22.15600      22.11800      22.10100     
8388608    5.40500       5.29300       5.24200       5.22400       5.21500       5.21100       21.28100      20.84200      20.64100      20.57000      20.53300      20.51800     
