size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       25.12200      23.20300      20.88700      20.00700      20.40400      0.00000       98.91900      91.36400      82.24100      78.77900      80.34200      0.00000      
2048       20.17600      18.63900      17.12500      15.89900      15.96400      16.56200      79.44400      73.39100      67.42900      62.60400      62.85800      65.21500     
4096       16.14300      13.30500      12.82100      12.40700      12.35200      11.71700      63.56200      52.38800      50.48200      48.85200      48.63700      46.13600     
8192       13.56600      11.21100      10.78100      10.61200      10.53800      10.29300      53.41600      44.14500      42.45000      41.78700      41.49200      40.53000     
16384      10.86400      9.91700       9.78500       9.71100       9.63700       9.58300       42.77700      39.05000      38.53000      38.23800      37.94600      37.73200     
32768      9.38500       9.11600       9.06700       9.04700       9.01800       8.96700       36.95200      35.89500      35.70200      35.62300      35.50900      35.30800     
65536      8.62600       8.49400       8.47100       8.46600       8.45900       8.44000       33.96300      33.44600      33.35600      33.33400      33.30700      33.23500     
131072     8.02200       7.94800       7.93900       7.94100       7.93700       7.93200       31.58600      31.29400      31.25800      31.26700      31.25300      31.23300     
262144     7.45700       7.44200       7.44700       7.45000       7.45300       7.45000       29.36200      29.30400      29.32400      29.33600      29.34500      29.33300     
524288     6.98800       6.97800       6.98500       6.99300       6.99500       6.99700       27.51600      27.47600      27.50500      27.53300      27.54500      27.55000     
1048576    6.56000       6.57100       6.57500       6.58100       6.58600       6.58700       25.82900      25.87400      25.89000      25.91500      25.93100      25.93700     
2097152    6.18700       6.19600       6.20700       6.21100       6.21400       6.21600       24.36300      24.39500      24.44200      24.45500      24.46800      24.47600     
4194304    5.82200       5.82100       5.83100       5.83900       5.84200       5.84400       22.92300      22.92000      22.96100      22.99200      23.00400      23.01100     
8388608    5.40500       5.42000       5.42500       5.43400       5.43900       5.44100       21.28100      21.34100      21.36200      21.39600      21.41600      21.42500     
