size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       20.67200      14.81900      14.39300      14.50700      16.68300      0.00000       60.73900      43.54200      42.29100      42.62600      49.01800      0.00000      
2048       15.72200      10.05800      8.97300       8.22700       6.93700       6.64300       46.19600      29.55300      26.36500      24.17200      20.38400      19.52000     
4096       9.07700       5.74100       4.46600       2.60100       2.53700       2.70300       26.67100      16.86900      13.12300      7.64200       7.45400       7.94100      
8192       6.69200       3.02800       2.24200       2.21300       2.29600       2.43300       19.66300      8.89800       6.58600       6.50300       6.74600       7.14800      
16384      5.90100       2.20800       2.13700       2.15700       2.18500       2.26600       17.33900      6.48700       6.27900       6.33700       6.42100       6.65800      
32768      2.20900       1.86000       1.95700       2.01900       2.03600       2.06900       6.49000       5.46500       5.74900       5.93300       5.98300       6.08000      
65536      1.69500       0.79000       0.73200       0.73300       0.73400       0.73400       4.97900       2.32200       2.15100       2.15300       2.15700       2.15800      
131072     1.39100       0.73200       0.71700       0.71800       0.71700       0.71800       4.08600       2.15100       2.10600       2.10800       2.10800       2.10800      
262144     0.83400       0.71900       0.71500       0.71600       0.71600       0.71600       2.44900       2.11200       2.10000       2.10300       2.10400       2.10400      
524288     0.77600       0.71500       0.71500       0.71600       0.71600       2.27900       2.10200       2.10000       2.10300       2.10400       0.00000       0.00000      
1048576    0.74300       0.71400       0.71500       0.71500       0.71600       2.18200       2.09900       2.10000       2.10000       2.10300       0.00000       0.00000      
2097152    0.72900       0.71400       0.71400       0.71400       0.71400       0.71500       2.14100       2.09800       2.09900       2.09900       2.09900       2.10000      
4194304    0.72000       0.71400       0.71400       0.71400       0.71400       2.11600       2.09700       2.09700       2.09800       2.09800       0.00000       0.00000      
8388608    0.71500       0.71200       0.71200       0.71300       0.71300       0.71300       2.10200       2.09200       2.09300       2.09400       2.09400       2.09500      
