size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       20.67200      16.06100      15.26800      14.47100      14.04700      0.00000       60.73900      47.19100      44.86000      42.51900      41.27300      0.00000      
2048       15.72200      10.73100      10.69200      10.35700      9.82900       11.85600      46.19600      31.52900      31.41600      30.43000      28.88100      34.83500     
4096       9.07700       5.89000       6.92900       2.55900       2.49000       2.48600       26.67100      17.30600      20.35800      7.52000       7.31600       7.30600      
8192       6.69200       3.08800       2.33400       2.27200       2.27500       2.27800       19.66300      9.07200       6.85900       6.67600       6.68500       6.69200      
16384      5.90100       2.23400       2.16800       2.17000       2.17300       2.17200       17.33900      6.56500       6.37100       6.37600       6.38400       6.38200      
32768      2.20900       1.76500       1.93600       1.96100       1.95800       1.96000       6.49000       5.18700       5.69000       5.76300       5.75300       5.76000      
65536      1.69500       0.92700       0.92000       0.93300       0.93900       0.94500       4.97900       2.72500       2.70400       2.74200       2.75900       2.77800      
131072     1.39100       0.81500       0.81500       0.81400       0.81700       0.81800       4.08600       2.39500       2.39400       2.39100       2.40100       2.40400      
262144     0.83400       0.76400       0.76400       0.76400       0.76400       0.76500       2.44900       2.24600       2.24500       2.24500       2.24400       2.24700      
524288     0.77600       0.73900       0.73900       0.73900       0.73900       0.73900       2.27900       2.17100       2.17200       2.17200       2.17200       2.17100      
1048576    0.74300       0.72600       0.72600       0.72700       0.72700       0.72700       2.18200       2.13400       2.13400       2.13500       2.13500       2.13500      
2097152    0.72900       0.72000       0.72000       0.72000       0.72000       0.72000       2.14100       2.11500       2.11500       2.11500       2.11600       2.11600      
4194304    0.72000       0.71600       0.71600       0.71600       0.71600       0.71600       2.11600       2.10500       2.10500       2.10500       2.10500       2.10500      
8388608    0.71500       0.71400       0.71400       0.71400       0.71400       0.71400       2.10200       2.09600       2.09700       2.09700       2.09700       2.09700      
