size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       20.67200      14.80100      15.23700      15.37300      18.23600      0.00000       60.73900      43.48900      44.77100      45.16800      53.58300      0.00000      
2048       15.72200      10.16700      8.95200       11.25200      9.80300       11.12100      46.19600      29.87400      26.30400      33.06000      28.80300      32.67700     
4096       9.07700       5.91100       4.88800       5.14200       8.73700       9.73900       26.67100      17.36900      14.36200      15.10800      25.67000      28.61400     
8192       6.69200       3.03300       2.30100       2.73300       5.02500       8.63400       19.66300      8.91200       6.76100       8.03000       14.76600      25.36900     
16384      5.90100       2.21000       2.13800       2.21600       2.70600       4.99700       17.33900      6.49400       6.28100       6.51200       7.95000       14.68200     
32768      2.20900       1.86100       1.95700       2.02000       2.09500       2.58800       6.49000       5.46900       5.74900       5.93400       6.15600       7.60400      
65536      1.69500       0.79100       0.73200       0.73300       0.73400       0.73500       4.97900       2.32500       2.15100       2.15400       2.15800       2.15900      
131072     1.39100       0.73200       0.71700       0.71900       0.71800       0.71800       4.08600       2.15100       2.10700       2.11100       2.11100       2.11100      
262144     0.83400       0.71900       0.71500       0.71600       0.71800       0.71800       2.44900       2.11200       2.10000       2.10400       2.10800       2.10800      
524288     0.77600       0.71500       0.71500       0.71500       0.71600       0.71700       2.27900       2.10200       2.10000       2.10000       2.10400       2.10800      
1048576    0.74300       0.71500       0.71400       0.71500       0.71500       0.71600       2.18200       2.10000       2.09900       2.10000       2.10000       2.10300      
2097152    0.72900       0.71400       0.71400       0.71400       0.71400       0.71500       2.14100       2.09800       2.09900       2.09900       2.09900       2.10000      
4194304    0.72000       0.71300       0.71400       0.71400       0.71400       0.71400       2.11600       2.09600       2.09700       2.09800       2.09800       2.09900      
8388608    0.71500       0.71200       0.71200       0.71300       0.71300       0.71300       2.10200       2.09200       2.09300       2.09400       2.09400       2.09500      
