size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       20.67200      15.45700      14.02900      13.07300      12.75900      0.00000       60.73900      45.41600      41.22000      38.41300      37.48800      0.00000      
2048       15.72200      9.96100       9.71200       9.11000       9.32600       10.18800      46.19600      29.26900      28.53500      26.76800      27.40300      29.93500     
4096       9.07700       5.34000       5.42000       2.35900       2.25800       2.26000       26.67100      15.68900      15.92400      6.93000       6.63600       6.64000      
8192       2.21500       2.15500       2.15600       2.15600       6.50900       6.33100       6.33400       6.33500       0.00000       0.00000       0.00000       0.00000      
16384      5.90100       2.19200       2.12300       2.12200       2.12200       17.33900      6.44000       6.23700       6.23600       6.23600       0.00000       0.00000      
32768      1.85600       1.95100       2.00800       2.01100       2.01600       5.45300       5.73300       5.89900       5.91000       5.92500       0.00000       0.00000      
65536      1.69500       0.73200       0.73200       4.97900       2.15200       2.15200       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
131072     0.71500       0.71500       2.10000       2.10000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
262144     0.71500       2.10000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
524288     0.71400       0.71400       0.71400       2.09900       2.09900       2.09900       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
1048576    0.74300       0.71400       0.71400       0.71400       2.18200       2.09900       2.09900       2.09800       0.00000       0.00000       0.00000       0.00000      
2097152    0.71400       0.71400       0.71400       0.71400       2.09700       2.09700       2.09700       2.09700       0.00000       0.00000       0.00000       0.00000      
4194304    0.72000       0.71300       0.71300       0.71300       2.11600       2.09500       2.09500       2.09500       0.00000       0.00000       0.00000       0.00000      
8388608    0.71200       2.09200       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
