size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       20.67200      17.86800      16.66500      4.43500       15.46300      0.00000       60.73900      52.50100      48.96400      12.65200      45.43300      0.00000      
2048       15.72200      10.74000      10.24800      3.77900       8.77400       8.70100       46.19600      31.55800      30.11100      10.78200      25.78100      25.56500     
4096       9.07700       5.78500       4.96500       2.68900       2.58700       2.54800       26.67100      16.99900      14.58700      7.90100       7.60200       7.48800      
8192       6.69200       2.90200       2.31000       2.24200       2.23800       2.23700       19.66300      8.52700       6.78900       6.58800       6.57500       6.57300      
16384      5.90100       2.19200       2.09400       2.07300       2.23000       17.33900      6.44100       6.15300       6.09100       6.36300       0.00000       0.00000      
32768      2.20900       1.63200       1.60900       1.61500       1.61900       1.62400       6.49000       4.79500       4.72800       4.74400       4.75700       4.77200      
65536      1.69500       1.02200       1.06300       1.10700       0.00100       1.12000       4.97900       3.00200       3.12400       3.25400       0.00300       3.29200      
131072     1.39100       0.86200       0.83200       0.86400       0.87900       0.88700       4.08600       2.53200       2.44600       2.53900       2.58300       2.60600      
262144     0.83400       0.78700       0.77200       0.76700       0.78300       0.00100       2.44900       2.31300       2.26900       2.25500       2.30100       0.00300      
524288     0.75000       0.74300       0.74000       0.73900       0.76500       2.20500       2.18400       2.17600       2.17200       2.24800       0.00000       0.00000      
1048576    0.74300       0.73200       0.72800       0.72700       0.72700       0.72600       2.18200       2.15200       2.14000       2.13700       2.13500       2.13400      
2097152    0.72900       0.72300       0.72100       0.00100       0.72000       0.00100       2.14100       2.12400       2.11800       0.00200       2.11500       0.00200      
4194304    0.71800       0.71700       0.71600       0.71600       0.71600       2.10900       2.10600       2.10500       2.10400       2.10400       0.00000       0.00000      
8388608    0.71500       0.71400       0.71300       0.71300       0.71300       0.00100       2.10200       2.09800       2.09600       2.09500       2.09500       0.00200      
