size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       19.70100      14.65800      14.65700      15.01600      16.41100      0.00000       70.28400      52.29100      52.29000      53.56800      58.54700      0.00000      
2048       14.83200      11.20000      10.80700      10.20100      10.45700      11.60400      52.91500      39.95400      38.55400      36.39100      37.30700      41.39800     
4096       8.94700       4.82700       4.11700       3.71800       3.72900       4.26600       31.91900      17.21900      14.68900      13.26300      13.30400      15.22000     
8192       7.09300       3.22500       2.85200       2.84500       2.83500       2.84300       25.30400      11.50700      10.17500      10.15000      10.11300      10.14200     
16384      5.57100       2.80900       2.70000       2.75600       2.78900       2.79500       19.87300      10.02200      9.63200       9.83100       9.94800       9.97100      
32768      3.33200       2.68600       2.66100       2.67300       2.73000       2.76100       11.88700      9.58200       9.49200       9.53700       9.73900       9.85100      
65536      3.00700       2.61900       2.61600       2.62900       2.64200       2.69400       10.72700      9.34200       9.33200       9.37800       9.42500       9.61000      
131072     2.76800       2.45800       2.49500       2.51700       2.53400       2.55500       9.87500       8.77000       8.90000       8.98000       9.03900       9.11400      
262144     2.12500       2.05900       2.06500       2.10200       2.13400       2.16800       7.58200       7.34500       7.36500       7.49700       7.61200       7.73600      
524288     1.59300       1.45900       1.35100       1.27500       1.20400       1.13000       5.68100       5.20600       4.82000       4.54900       4.29500       4.03200      
1048576    1.10200       0.89700       0.82100       0.78900       0.77800       0.77300       3.93000       3.20100       2.92900       2.81600       2.77400       2.75900      
2097152    0.62400       0.52600       0.48000       0.47000       0.46600       0.46100       2.22600       1.87600       1.71100       1.67800       1.66300       1.64600      
4194304    0.07000       0.05700       0.05700       0.05500       0.03900       0.03900       0.24900       0.20200       0.20400       0.19700       0.14000       0.13900      
8388608    0.03900       0.03900       0.03900       0.03900       0.03900       0.03900       0.13900       0.13900       0.13900       0.13900       0.13900       0.13900      
