size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       19.70100      15.08500      14.44900      14.17900      14.27000      0.00000       70.28400      53.81700      51.54600      50.58500      50.90700      0.00000      
2048       14.83200      11.87300      12.16700      11.65100      12.04700      12.58200      52.91500      42.35600      43.40700      41.56300      42.97900      44.88600     
4096       8.94700       5.54900       5.63700       3.78100       3.70200       3.70600       31.91900      19.79400      20.11100      13.48900      13.20600      13.22000     
8192       7.09300       3.61200       3.21600       3.17100       3.17200       3.16200       25.30400      12.88500      11.47200      11.31400      11.31700      11.28100     
16384      5.57100       2.98300       2.89500       2.90400       2.89900       2.90500       19.87300      10.64000      10.33000      10.35900      10.34400      10.36200     
32768      3.33200       2.77100       2.74900       2.74900       2.75300       2.75200       11.88700      9.88500       9.80700       9.80600       9.82100       9.81900      
65536      3.00700       2.66100       2.64800       2.64800       2.64900       2.65100       10.72700      9.49400       9.44700       9.44500       9.44900       9.45700      
131072     2.76800       2.47500       2.50000       2.51100       2.51700       2.52100       9.87500       8.83000       8.91900       8.95800       8.98000       8.99300      
262144     2.12500       2.04800       2.02600       2.03500       2.04000       2.05100       7.58200       7.30500       7.22800       7.25900       7.27900       7.31800      
524288     1.59300       1.43700       1.29900       1.20800       1.13900       1.07500       5.68100       5.12800       4.63500       4.31000       4.06300       3.83500      
1048576    1.10200       0.88600       0.79700       0.76100       0.74700       0.74100       3.93000       3.15900       2.84200       2.71500       2.66400       2.64400      
2097152    0.62400       0.51500       0.46100       0.45000       0.44500       0.44100       2.22600       1.83800       1.64300       1.60500       1.58600       1.57200      
4194304    0.07000       0.05900       0.05600       0.05200       0.03900       0.03900       0.24900       0.20900       0.19900       0.18400       0.14000       0.13900      
8388608    0.03900       0.03900       0.03900       0.03900       0.03900       0.03900       0.13900       0.13900       0.13900       0.13900       0.13900       0.13900      
