size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       19.70100      14.65500      15.08000      15.68600      17.35600      0.00000       70.28400      52.28100      53.79600      55.95800      61.91800      0.00000      
2048       14.83200      11.28600      10.84500      12.23400      12.91900      15.34400      52.91500      40.26200      38.69100      43.64500      46.08700      54.73900     
4096       8.94700       4.98000       4.83600       5.17900       6.33500       7.60500       31.91900      17.76600      17.25100      18.47600      22.60000      27.13000     
8192       7.09300       3.22900       2.87200       3.12900       3.14200       3.74600       25.30400      11.51800      10.24500      11.16300      11.20800      13.36200     
16384      5.57100       2.81100       2.70100       2.77400       3.05000       3.07700       19.87300      10.02900      9.63400       9.89600       10.88100      10.97700     
32768      3.33200       2.68700       2.66100       2.67400       2.74900       3.02500       11.88700      9.58500       9.49400       9.54000       9.80600       10.79100     
65536      3.00700       2.61900       2.61600       2.63000       2.64300       2.71400       10.72700      9.34400       9.33400       9.38100       9.43000       9.68100      
131072     2.76800       2.45900       2.49500       2.51800       2.53600       2.55800       9.87500       8.77100       8.90200       8.98400       9.04500       9.12700      
262144     2.12500       2.05900       2.06500       2.10200       2.13400       2.17000       7.58200       7.34500       7.36600       7.49800       7.61500       7.74000      
524288     1.59300       1.45900       1.35100       1.27600       1.20400       1.13100       5.68100       5.20600       4.82000       4.55000       4.29700       4.03400      
1048576    1.10200       0.89700       0.82100       0.78900       0.77900       0.77400       3.93000       3.20200       2.92900       2.81600       2.77800       2.76300      
2097152    0.62400       0.52600       0.48000       0.47000       0.46600       0.46100       2.22600       1.87600       1.71100       1.67800       1.66300       1.64600      
4194304    0.07000       0.05700       0.05700       0.05500       0.03900       0.03900       0.24900       0.20200       0.20400       0.19700       0.14000       0.13900      
8388608    0.03900       0.03900       0.03900       0.03900       0.03900       0.03900       0.13900       0.13900       0.13900       0.13900       0.13900       0.13900      
