size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       19.70100      14.55700      13.66300      13.57600      13.23500      0.00000       70.28400      51.93200      48.74100      48.43300      47.21600      0.00000      
2048       14.83200      11.31900      11.45800      10.59000      11.00700      11.10800      52.91500      40.37900      40.87600      37.78000      39.26800      39.62800     
4096       8.94700       4.91200       4.49500       3.06100       2.99100       2.99100       31.91900      17.52500      16.03600      10.92000      10.67000      10.66900     
8192       7.09300       3.33500       2.77100       2.72400       2.71100       2.70600       25.30400      11.89600      9.88500       9.71700       9.67200       9.65300      
16384      5.57100       2.81300       2.67300       2.67100       2.67000       2.67500       19.87300      10.03600      9.53500       9.53000       9.52500       9.54200      
32768      3.33200       2.67700       2.63400       2.63300       2.63300       2.63300       11.88700      9.55000       9.39800       9.39300       9.39300       9.39200      
65536      3.00700       2.60600       2.58500       2.58400       2.58400       2.58500       10.72700      9.29700       9.22300       9.21800       9.21900       9.22000      
131072     2.76800       2.44500       2.46900       2.47700       2.48100       2.48400       9.87500       8.72400       8.80700       8.83800       8.85200       8.86100      
262144     2.12500       2.05000       2.05300       2.08500       2.11500       2.14600       7.58200       7.31200       7.32400       7.43800       7.54600       7.65500      
524288     1.59300       1.45400       1.34100       1.26200       1.18900       1.11400       5.68100       5.18500       4.78400       4.50200       4.24200       3.97600      
1048576    1.10200       0.89400       0.81500       0.78000       0.76400       0.75700       3.93000       3.18800       2.90600       2.78100       2.72600       2.69900      
2097152    0.62400       0.52500       0.47800       0.46900       0.46500       0.45900       2.22600       1.87100       1.70600       1.67400       1.65700       1.63900      
4194304    0.07000       0.05700       0.05700       0.05500       0.03900       0.03900       0.24900       0.20200       0.20400       0.19700       0.14000       0.13900      
8388608    0.03900       0.03900       0.03900       0.03900       0.03900       0.03900       0.13900       0.13900       0.13900       0.13900       0.13900       0.13900      
