size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       19.70100      15.84700      14.57400      14.46600      14.46000      0.00000       70.28400      56.53400      51.99200      51.60700      51.58500      0.00000      
2048       14.83200      11.23100      10.60500      9.27200       9.41200       10.19000      52.91500      40.06500      37.83200      33.07600      33.57700      36.35100     
4096       8.94700       5.84800       5.51000       4.58100       4.49800       4.53300       31.91900      20.86300      19.65600      16.34300      16.04600      16.17100     
8192       7.09300       3.68300       3.30800       3.53200       3.50900       3.26200       25.30400      13.14000      11.80000      12.60100      12.51700      11.63600     
16384      5.57100       3.07100       2.93500       2.91700       3.39400       2.90200       19.87300      10.95500      10.47100      10.40500      12.10700      10.35100     
32768      3.33200       2.81800       2.76500       2.75300       2.75200       2.74600       11.88700      10.05500      9.86400       9.82300       9.81600       9.79600      
65536      3.00700       2.68000       2.64600       2.63700       2.63700       2.63600       10.72700      9.56200       9.43900       9.40800       9.40600       9.40300      
131072     2.76800       2.46300       2.46000       2.45500       2.45400       2.45500       9.87500       8.78600       8.77700       8.75700       8.75600       8.75900      
262144     2.12500       2.01500       1.96100       1.94900       1.94100       1.94400       7.58200       7.18700       6.99700       6.95100       6.92500       6.93600      
524288     1.59300       1.40700       1.26000       1.16900       1.10500       1.04600       5.68100       5.01800       4.49600       4.17000       3.94100       3.73000      
1048576    1.10200       0.86400       0.77100       0.73500       0.71800       0.71100       3.93000       3.08100       2.75100       2.62300       2.56000       2.53800      
2097152    0.62400       0.49600       0.43700       0.42100       0.41700       0.41300       2.22600       1.77000       1.55900       1.50000       1.48700       1.47200      
4194304    0.07000       0.06200       0.09200       0.09100       0.10300       0.10600       0.24900       0.22200       0.32700       0.32300       0.36900       0.37900      
8388608    0.03900       0.04000       0.04200       0.06200       0.04800       0.05500       0.13900       0.14200       0.15100       0.22300       0.17200       0.19800      
