size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       18.35800      20.36800      18.99000      13.21700      10.44200      0.00000       44.51500      49.38800      46.04800      32.04900      25.32000      0.00000      
2048       14.60000      14.43900      18.07100      11.30100      5.01100       6.13700       35.40200      35.01200      43.81900      27.40400      12.15100      14.88100     
4096       9.03900       8.04000       9.48700       10.27900      4.51300       4.44200       21.91800      19.49500      23.00500      24.92400      10.94300      10.77100     
8192       4.40500       4.00700       3.96100       4.11100       4.20100       4.00000       10.68100      9.71500       9.60500       9.96800       10.18700      9.70000      
16384      2.51900       3.04900       3.63000       3.69800       3.86900       3.95400       6.10800       7.39400       8.80300       8.96800       9.38100       9.58800      
32768      0.28300       0.18300       0.17400       0.28300       0.36300       0.53900       0.68600       0.44300       0.42100       0.68700       0.88000       1.30600      
65536      0.22100       0.16400       0.16900       0.17400       0.28300       0.36300       0.53600       0.39700       0.41000       0.42100       0.68700       0.87900      
131072     0.18700       0.15100       0.14300       0.14300       0.14400       0.25400       0.45300       0.36600       0.34600       0.34800       0.35000       0.61600      
262144     0.17000       0.14600       0.14200       0.14200       0.14300       0.14400       0.41200       0.35400       0.34400       0.34400       0.34700       0.34800      
524288     0.14800       0.14000       0.13900       0.13900       0.13900       0.14000       0.35900       0.34000       0.33600       0.33600       0.33700       0.34000      
1048576    0.13700       0.13600       0.13500       0.13500       0.13500       0.13500       0.33100       0.32900       0.32800       0.32800       0.32800       0.32800      
2097152    0.12900       0.12500       0.12900       0.13300       0.13400       0.13400       0.31200       0.30300       0.31200       0.32300       0.32500       0.32500      
4194304    0.11900       0.10100       0.08700       0.08500       0.08500       0.08500       0.28900       0.24400       0.21200       0.20700       0.20700       0.20700      
8388608    0.10600       0.08100       0.07400       0.07700       0.07700       0.07700       0.25600       0.19700       0.17900       0.18600       0.18600       0.18600      
