size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       18.30800      12.09300      12.02400      9.96400       0.00000       44.39400      29.32300      29.15700      24.16200      0.00000       0.00000       0.00000      
2048       14.75500      11.07000      11.62900      8.16400       4.00500       3.98300       35.66500      26.84300      27.97200      19.79700      9.71300       9.65800      
4096       9.00400       7.05700       7.68500       3.85100       3.83500       21.83300      17.11100      18.63500      9.33800       9.29800       0.00000       0.00000      
8192       4.36400       3.87200       3.77900       3.75700       3.56000       3.58200       10.49600      9.39000       9.16400       9.11000       8.37600       8.68600      
16384      2.51200       2.98000       3.53300       3.52300       3.51600       6.09200       7.16100       8.56700       8.54300       8.52500       0.00000       0.00000      
32768      0.28000       0.18600       0.17800       0.17800       0.17700       0.67900       0.45100       0.43100       0.43100       0.43000       0.00000       0.00000      
65536      0.20700       0.17200       0.17400       0.50100       0.41700       0.42200       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
131072     0.18600       0.15200       0.15600       0.15600       0.24900       0.45100       0.36800       0.37700       0.37900       0.59400       0.00000       0.00000      
262144     0.16900       0.14200       0.15400       0.14200       0.41100       0.34500       0.37300       0.34500       0.00000       0.00000       0.00000       0.00000      
524288     0.14800       0.14300       0.13900       0.13900       0.13900       0.13900       0.35800       0.34700       0.33700       0.33700       0.33700       0.33700      
1048576    0.13700       0.33200       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
2097152    0.12700       0.12800       0.13300       0.15100       0.13500       0.30800       0.31000       0.32200       0.36300       0.32700       0.00000       0.00000      
4194304    0.11900       0.10500       0.10300       0.11100       0.28900       0.25500       0.24900       0.27000       0.00000       0.00000       0.00000       0.00000      
8388608    0.10600       0.08700       0.08600       0.08900       0.08900       0.25600       0.21200       0.20900       0.21600       0.21700       0.00000       0.00000      
