size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       18.65800      18.94700      12.79300      28.97100      0.00000       45.00900      45.65300      30.72100      70.25000      0.00000       0.00000       0.00000      
2048       14.55600      14.42100      17.98800      10.95500      5.27800       35.29500      34.96900      43.61900      26.56500      12.79700      0.00000       0.00000      
4096       9.00400       8.05600       9.55100       10.31600      21.83300      19.51300      23.16000      25.01400      0.00000       0.00000       0.00000       0.00000      
8192       4.39300       3.98900       3.95700       4.31400       4.36100       4.27800       10.65200      9.64000       9.42000       10.46100      10.57500      10.31300     
16384      2.51200       3.79600       4.05200       4.13600       6.09200       9.20400       9.72400       10.02800      0.00000       0.00000       0.00000       0.00000      
32768      0.28000       0.19800       0.48200       0.75900       0.67900       0.47900       1.16600       1.84000       0.00000       0.00000       0.00000       0.00000      
65536      0.21900       0.16400       0.19400       0.46000       0.53200       0.39700       0.46900       1.11500       0.00000       0.00000       0.00000       0.00000      
131072     0.18600       0.15100       0.14300       0.17600       0.14400       0.30200       0.45100       0.36600       0.34600       0.42100       0.35000       0.72600      
262144     0.16900       0.14600       0.14200       0.19500       0.41100       0.35400       0.34400       0.46400       0.00000       0.00000       0.00000       0.00000      
524288     0.17000       0.16300       0.13900       0.13900       0.14000       0.41100       0.39200       0.33600       0.33700       0.34000       0.00000       0.00000      
1048576    0.15800       0.13600       0.15200       0.13500       0.13500       0.38000       0.32900       0.36600       0.32800       0.32800       0.00000       0.00000      
2097152    0.14500       0.13300       0.34800       0.32300       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
4194304    0.11900       0.12500       0.08700       0.10400       0.28900       0.30000       0.21200       0.25000       0.00000       0.00000       0.00000       0.00000      
8388608    0.07400       0.07700       0.17900       0.18600       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
