size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       18.30800      12.07400      12.09400      10.81600      9.91300       0.00000       44.39400      29.27700      29.26100      26.22800      24.03800      0.00000      
2048       11.38900      9.98100       3.93800       3.93700       27.61500      24.20300      9.55000       9.54800       0.00000       0.00000       0.00000       0.00000      
4096       7.27300       8.59700       9.66900       3.80500       3.74800       17.63500      20.84600      23.44600      9.22600       9.08800       0.00000       0.00000      
8192       3.69500       3.63900       3.50600       8.90400       8.74800       8.50100       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
16384      2.51200       3.04500       6.09200       7.38400       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
32768      0.32200       0.17100       0.17100       0.17100       0.77100       0.41500       0.41500       0.41500       0.00000       0.00000       0.00000       0.00000      
65536      0.21900       0.19000       0.16800       0.17100       0.17100       0.17100       0.53200       0.45800       0.40700       0.41500       0.41500       0.41500      
131072     0.18600       0.15100       0.14300       0.14200       0.15500       0.14200       0.45100       0.36600       0.34600       0.34500       0.37400       0.34500      
262144     0.14200       0.14200       0.16700       0.14500       0.34400       0.34400       0.40100       0.34900       0.00000       0.00000       0.00000       0.00000      
524288     0.14800       0.14000       0.35800       0.34000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
1048576    0.14500       0.13600       0.16000       0.15200       0.13500       0.14500       0.35000       0.32900       0.38700       0.36500       0.32800       0.35000      
2097152    0.12900       0.14900       0.13400       0.31200       0.35900       0.32500       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
4194304    0.10100       0.09800       0.09700       0.08500       0.08500       0.24400       0.23600       0.23300       0.20700       0.20700       0.00000       0.00000      
8388608    0.10600       0.08100       0.08700       0.07700       0.07700       0.25600       0.19700       0.20900       0.18600       0.18600       0.00000       0.00000      
