size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       11.24000      9.23000       0.00000       27.25400      22.38200      0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
2048       15.10300      11.15100      10.53700      8.20400       36.16500      26.74300      25.55000      19.53600      0.00000       0.00000       0.00000       0.00000      
4096       9.00400       6.53800       3.64000       21.83300      15.64800      8.82700       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
8192       4.39300       3.43700       3.21100       3.08000       10.65200      8.33300       7.78700       7.46900       0.00000       0.00000       0.00000       0.00000      
16384      2.51400       2.45700       2.41300       2.04400       2.03900       2.20400       6.07000       5.90700       5.85200       4.95500       4.94300       5.33800      
32768      0.28000       0.64500       1.02000       0.82800       0.71200       0.67900       1.56400       2.47400       2.00700       1.72700       0.00000       0.00000      
65536      0.21900       0.17100       0.28200       0.24900       0.60700       0.49400       0.53200       0.41500       0.68400       0.60500       1.47200       1.19800      
131072     0.15600       0.18600       0.37900       0.45200       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
262144     0.18500       0.15000       0.18600       0.14900       0.44500       0.36300       0.44800       0.36100       0.00000       0.00000       0.00000       0.00000      
524288     0.14800       0.14500       0.14300       0.35800       0.35100       0.34700       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
1048576    0.13700       0.13600       0.18500       0.13700       0.13600       0.22500       0.33100       0.33000       0.44100       0.33200       0.33000       0.52700      
2097152    0.12900       0.15300       0.15300       0.20500       0.31200       0.37000       0.36800       0.48700       0.00000       0.00000       0.00000       0.00000      
4194304    0.11900       0.11100       0.10300       0.13200       0.10200       0.28900       0.26900       0.25000       0.31700       0.24800       0.00000       0.00000      
8388608    0.10600       0.08800       0.08600       0.08600       0.25600       0.21400       0.21000       0.20900       0.00000       0.00000       0.00000       0.00000      
