size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       49.06500      38.31000      35.92500      23.14600      14.71000      0.00000       88.10700      68.79300      64.51100      41.56300      26.41500      0.00000      
2048       34.69700      37.29100      34.53300      18.86600      4.07200       5.06200       62.30600      66.96300      62.01100      33.87700      7.31300       9.09000      
4096       25.12400      24.21900      32.61500      16.23500      2.03100       1.97400       45.11500      43.49100      58.56600      29.15300      3.64800       3.54500      
8192       12.37000      9.76400       13.01000      15.33500      1.44700       0.95000       22.21300      17.53400      23.36100      27.53600      2.59800       1.70600      
16384      10.81200      0.95600       0.90400       1.00700       1.13600       0.91900       19.41500      1.71600       1.62400       1.80800       2.04000       1.65000      
32768      10.61100      0.54400       0.40300       0.44300       0.52800       0.62000       19.05500      0.97800       0.72400       0.79500       0.94700       1.11300      
65536      0.53500       0.46200       0.37400       0.38200       0.42600       0.51600       0.96100       0.83000       0.67200       0.68500       0.76500       0.92700      
131072     0.46300       0.36300       0.36300       0.36300       0.36900       0.41400       0.83100       0.65100       0.65200       0.65200       0.66300       0.74300      
262144     0.38400       0.34000       0.35400       0.35500       0.35600       0.36200       0.68900       0.61100       0.63600       0.63800       0.63900       0.65100      
524288     0.29200       0.23800       0.23600       0.22800       0.22800       0.22800       0.52400       0.42800       0.42400       0.40900       0.40900       0.40900      
1048576    0.23000       0.22100       0.20300       0.19800       0.19800       0.19800       0.41200       0.39600       0.36500       0.35600       0.35500       0.35500      
2097152    0.18700       0.17200       0.17200       0.17200       0.17200       0.17200       0.33500       0.31000       0.30800       0.30800       0.30800       0.30800      
4194304    0.16800       0.16300       0.16300       0.16600       0.16600       0.16600       0.30100       0.29200       0.29200       0.29700       0.29700       0.29700      
8388608    0.14900       0.14900       0.14900       0.15200       0.15200       0.15200       0.26800       0.26800       0.26800       0.27300       0.27300       0.27300      
