size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       49.06500      22.15400      21.95200      17.05200      17.62400      0.00000       88.10700      39.78200      39.41900      30.61900      31.64800      0.00000      
2048       34.69700      21.31100      20.48000      12.55800      2.81000       2.66900       62.30600      38.26800      36.77600      22.55100      5.04500       4.79400      
4096       25.12400      17.67300      18.81400      10.49000      1.28100       1.23600       45.11500      31.73500      33.78500      18.83600      2.30000       2.21900      
8192       12.37000      7.07100       8.16900       9.55300       1.03800       0.61800       22.21300      12.69700      14.66900      17.15500      1.86500       1.11000      
16384      10.81200      0.97200       0.90400       0.90900       0.90100       0.48300       19.41500      1.74500       1.62400       1.63300       1.61700       0.86700      
32768      10.61100      0.55200       0.45400       0.45700       0.46200       0.46300       19.05500      0.99100       0.81600       0.82100       0.83000       0.83200      
65536      0.53500       0.47600       0.38200       0.38400       0.38500       0.38200       0.96100       0.85600       0.68600       0.68900       0.69100       0.68600      
131072     0.46300       0.37000       0.37000       0.37100       0.37100       0.37100       0.83100       0.66400       0.66500       0.66500       0.66600       0.66700      
262144     0.38400       0.34900       0.35900       0.36000       0.36000       0.36000       0.68900       0.62600       0.64500       0.64600       0.64600       0.64600      
524288     0.29200       0.28000       0.28500       0.28800       0.28800       0.28800       0.52400       0.50300       0.51300       0.51700       0.51800       0.51800      
1048576    0.23000       0.25100       0.23900       0.23800       0.23800       0.23700       0.41200       0.45000       0.42900       0.42700       0.42700       0.42600      
2097152    0.18700       0.19000       0.19300       0.19200       0.19100       0.19100       0.33500       0.34100       0.34700       0.34500       0.34400       0.34300      
4194304    0.16800       0.16700       0.17000       0.17300       0.17200       0.17300       0.30100       0.30100       0.30500       0.31100       0.30900       0.31000      
8388608    0.14900       0.14900       0.14900       0.15100       0.15200       0.15100       0.26800       0.26800       0.26800       0.27100       0.27300       0.27100      
