size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       49.06500      40.22100      36.12300      22.21700      62.64100      0.00000       88.10700      72.22500      64.86600      39.89600      112.48500     0.00000      
2048       34.69700      38.97500      34.81700      18.22100      5.77300       16.59200      62.30600      69.98800      62.52200      32.72000      10.36600      29.79500     
4096       25.12400      24.69400      32.70300      15.77000      3.15100       3.03900       45.11500      44.34400      58.72400      28.31900      5.65800       5.45700      
8192       12.37000      9.89000       13.20100      14.79900      2.46800       2.24100       22.21300      17.75900      23.70500      26.57400      4.43200       4.02500      
16384      10.81200      0.96500       1.26300       1.89800       2.08700       1.96200       19.41500      1.73300       2.26900       3.40800       3.74700       3.52300      
32768      10.61100      0.54800       0.40600       0.79700       1.39800       1.57000       19.05500      0.98300       0.73000       1.43000       2.51100       2.81900      
65536      0.53500       0.46400       0.37400       0.38500       0.78100       1.38700       0.96100       0.83300       0.67200       0.69100       1.40200       2.49000      
131072     0.46300       0.36300       0.36300       0.36300       0.37200       0.76800       0.83100       0.65100       0.65200       0.65200       0.66800       1.37900      
262144     0.38400       0.34000       0.35400       0.35500       0.35600       0.36500       0.68900       0.61100       0.63600       0.63800       0.64000       0.65600      
524288     0.29200       0.23800       0.23600       0.22800       0.22800       0.22800       0.52400       0.42800       0.42400       0.40900       0.40900       0.40900      
1048576    0.23000       0.22100       0.20300       0.19900       0.19800       0.19800       0.41200       0.39600       0.36500       0.35600       0.35500       0.35500      
2097152    0.18700       0.17200       0.17200       0.17200       0.17200       0.17200       0.33500       0.31000       0.30800       0.30800       0.30800       0.30800      
4194304    0.16800       0.16300       0.16300       0.16600       0.16600       0.16600       0.30100       0.29200       0.29200       0.29700       0.29700       0.29700      
8388608    0.14900       0.14900       0.14900       0.15200       0.15200       0.15200       0.26800       0.26800       0.26800       0.27300       0.27300       0.27300      
