size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       49.06500      22.10400      21.91300      18.79800      16.94200      0.00000       88.10700      39.69200      39.34900      33.75600      30.42300      0.00000      
2048       34.69700      21.27100      20.45200      16.38200      2.53900       2.53800       62.30600      38.19700      36.72500      29.41700      4.55900       4.55700      
4096       25.12400      17.66500      18.73100      14.63500      1.16200       1.03300       45.11500      31.72100      33.63500      26.28000      2.08700       1.85500      
8192       12.37000      8.53300       11.71200      14.36200      0.91800       0.45300       22.21300      15.32300      21.03200      25.79000      1.64900       0.81400      
16384      10.81200      0.93600       0.79700       0.77600       0.77500       0.45100       19.41500      1.68000       1.43100       1.39400       1.39100       0.81100      
32768      10.61100      0.53800       0.39600       0.38800       0.38500       0.38500       19.05500      0.96600       0.71000       0.69800       0.69100       0.69100      
65536      0.53500       0.45900       0.37300       0.37400       0.37500       0.37500       0.96100       0.82400       0.67000       0.67200       0.67300       0.67300      
131072     0.46300       0.36200       0.36300       0.36200       0.36200       0.36200       0.83100       0.65100       0.65100       0.65000       0.64900       0.65000      
262144     0.38400       0.34000       0.35400       0.35500       0.35500       0.35500       0.68900       0.61100       0.63500       0.63700       0.63700       0.63700      
524288     0.29200       0.23800       0.23600       0.22800       0.22700       0.22700       0.52400       0.42800       0.42400       0.40900       0.40800       0.40800      
1048576    0.23000       0.22100       0.20300       0.19800       0.19700       0.19700       0.41200       0.39600       0.36500       0.35600       0.35400       0.35400      
2097152    0.18700       0.17200       0.17200       0.17200       0.17200       0.17200       0.33500       0.31000       0.30800       0.30800       0.30800       0.30800      
4194304    0.16800       0.16300       0.16300       0.16500       0.16500       0.16500       0.30100       0.29200       0.29200       0.29700       0.29700       0.29700      
8388608    0.14900       0.14900       0.14900       0.15200       0.15200       0.15200       0.26800       0.26800       0.26800       0.27300       0.27300       0.27300      
