size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       49.06500      22.52200      19.81100      14.89300      16.35500      0.00000       88.10700      40.44200      35.57400      26.74400      29.36800      0.00000      
2048       34.69700      21.59000      18.29400      11.86300      3.02000       2.82700       62.30600      38.76800      32.85100      21.30200      5.42200       5.07600      
4096       25.12400      17.69800      17.33000      10.40800      2.05800       1.64700       45.11500      31.78100      31.12000      18.68900      3.69500       2.95800      
8192       12.37000      7.06800       8.12700       9.57100       1.49400       1.09900       22.21300      12.69200      14.59400      17.18700      2.68200       1.97400      
16384      10.81200      1.03100       0.96600       1.25600       1.33000       0.86200       19.41500      1.85100       1.73400       2.25600       2.38800       1.54900      
32768      10.61100      0.59200       0.48900       0.49700       0.57100       0.61400       19.05500      1.06200       0.87900       0.89200       1.02500       1.10200      
65536      0.53500       0.50300       0.41300       0.41600       0.41400       0.41700       0.96100       0.90300       0.74200       0.74700       0.74400       0.75000      
131072     0.46300       0.37900       0.38700       0.37900       0.38000       0.38100       0.83100       0.68100       0.69400       0.68000       0.68200       0.68300      
262144     0.38400       0.33900       0.33700       0.34000       0.33800       0.33900       0.68900       0.60900       0.60500       0.61000       0.60700       0.60900      
524288     0.29200       0.28000       0.28300       0.28200       0.28400       0.28400       0.52400       0.50300       0.50800       0.50600       0.51000       0.51000      
1048576    0.23000       0.24000       0.23400       0.23500       0.23500       0.23600       0.41200       0.43200       0.42000       0.42200       0.42200       0.42400      
2097152    0.18700       0.19000       0.20100       0.19900       0.20100       0.20100       0.33500       0.34100       0.36100       0.35700       0.36100       0.36100      
4194304    0.16800       0.17400       0.17000       0.17600       0.18200       0.17800       0.30100       0.31300       0.30500       0.31600       0.32800       0.32000      
8388608    0.14900       0.15200       0.15900       0.16200       0.16700       0.16400       0.26800       0.27400       0.28600       0.29000       0.30000       0.29500      
