size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       23.01100      18.82400      23.11500      26.32700      21.72000      0.00000       37.99600      31.08300      38.16900      43.47200      35.86400      0.00000      
2048       14.92300      4.94600       3.42900       4.22400       5.16000       9.16500       24.64100      8.16600       5.66200       6.97500       8.52000       15.13300     
4096       12.73800      2.45700       1.63100       2.01800       2.98800       3.62500       21.03300      4.05600       2.69400       3.33200       4.93400       5.98500      
8192       2.23000       1.56100       0.88800       0.96800       1.25800       2.04300       3.68300       2.57700       1.46700       1.59900       2.07700       3.37300      
16384      1.29800       0.75200       0.70300       0.70300       0.77300       1.11100       2.14400       1.24200       1.16100       1.16000       1.27600       1.83500      
32768      1.06400       0.60700       0.62400       0.63700       0.65300       0.70800       1.75700       1.00300       1.03000       1.05200       1.07800       1.17000      
65536      0.54000       0.44300       0.42300       0.42500       0.42000       0.42100       0.89200       0.73100       0.69900       0.70200       0.69400       0.69500      
131072     0.41000       0.35200       0.34200       0.32700       0.32800       0.32900       0.67700       0.58100       0.56500       0.54000       0.54200       0.54300      
262144     0.30600       0.27800       0.27600       0.27500       0.27500       0.27600       0.50600       0.45900       0.45500       0.45400       0.45400       0.45500      
524288     0.26400       0.25000       0.25100       0.25500       0.25800       0.25800       0.43500       0.41200       0.41400       0.42200       0.42600       0.42700      
1048576    0.23100       0.22900       0.22900       0.22900       0.23000       0.23000       0.38100       0.37900       0.37800       0.37900       0.37900       0.38000      
2097152    0.22900       0.22900       0.22900       0.22900       0.22900       0.22900       0.37900       0.37800       0.37800       0.37800       0.37800       0.37800      
4194304    0.22900       0.22900       0.22900       0.22900       0.22900       0.22900       0.37800       0.37800       0.37800       0.37800       0.37800       0.37800      
8388608    0.22900       0.22900       0.22900       0.22900       0.22900       0.22900       0.37800       0.37800       0.37800       0.37800       0.37800       0.37800      
