size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       23.01100      15.73800      17.66500      20.09700      21.19900      0.00000       37.99600      25.98700      29.16900      33.18400      35.00400      0.00000      
2048       14.92300      4.64100       2.82100       2.51200       2.49000       2.30500       24.64100      7.66300       4.65800       4.14800       4.11200       3.80600      
4096       12.73800      2.34000       1.61400       1.70200       1.73900       1.74900       21.03300      3.86400       2.66500       2.81100       2.87200       2.88700      
8192       2.23000       1.52100       0.95200       0.91200       0.89500       0.89500       3.68300       2.51100       1.57300       1.50600       1.47800       1.47800      
16384      1.29800       0.78000       0.75600       0.74200       0.74300       0.73900       2.14400       1.28800       1.24800       1.22400       1.22600       1.22000      
32768      1.06400       0.64800       0.65300       0.65700       0.65400       0.65300       1.75700       1.07000       1.07800       1.08500       1.07900       1.07800      
65536      0.54000       0.50000       0.50400       0.50700       0.50900       0.51200       0.89200       0.82600       0.83200       0.83700       0.84000       0.84600      
131072     0.41000       0.40000       0.40500       0.40200       0.40200       0.40200       0.67700       0.66000       0.66800       0.66400       0.66400       0.66400      
262144     0.30600       0.30700       0.30700       0.30800       0.30700       0.30700       0.50600       0.50700       0.50800       0.50900       0.50600       0.50700      
524288     0.26400       0.26000       0.26300       0.26300       0.26200       0.26100       0.43500       0.42900       0.43400       0.43400       0.43200       0.43100      
1048576    0.23100       0.23000       0.23000       0.23000       0.23000       0.23000       0.38100       0.38000       0.37900       0.38000       0.38000       0.38000      
2097152    0.22900       0.22900       0.22900       0.22900       0.22900       0.22900       0.37900       0.37800       0.37800       0.37800       0.37800       0.37800      
4194304    0.22900       0.22900       0.22900       0.22900       0.22900       0.22900       0.37800       0.37800       0.37800       0.37800       0.37800       0.37800      
8388608    0.22900       0.22900       0.22900       0.22900       0.22900       0.22900       0.37800       0.37800       0.37800       0.37800       0.37800       0.37800      
