size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       23.01100      18.88100      23.41600      26.20900      75.13100      0.00000       37.99600      31.17600      38.66600      43.27700      124.06000     0.00000      
2048       14.92300      4.95900       3.76200       5.19800       6.09000       25.82500      24.64100      8.18900       6.21200       8.58300       10.05600      42.64400     
4096       12.73800      2.46100       1.63700       2.37900       3.78500       4.35000       21.03300      4.06400       2.70300       3.92900       6.25000       7.18300      
8192       2.23000       1.56300       0.89100       0.98200       1.67400       3.18600       3.68300       2.58100       1.47100       1.62100       2.76400       5.26000      
16384      1.29800       0.75400       0.70400       0.70400       0.81100       1.52200       2.14400       1.24400       1.16300       1.16300       1.33900       2.51300      
32768      1.06400       0.60700       0.62500       0.63800       0.65400       0.75700       1.75700       1.00300       1.03200       1.05400       1.08000       1.25000      
65536      0.54000       0.44300       0.42300       0.42600       0.42000       0.42100       0.89200       0.73100       0.69900       0.70300       0.69400       0.69600      
131072     0.41000       0.35200       0.34200       0.32700       0.32800       0.32900       0.67700       0.58100       0.56500       0.54000       0.54200       0.54400      
262144     0.30600       0.27800       0.27600       0.27500       0.27500       0.27600       0.50600       0.45900       0.45500       0.45400       0.45500       0.45500      
524288     0.26400       0.25000       0.25100       0.25500       0.25800       0.25800       0.43500       0.41200       0.41400       0.42200       0.42600       0.42700      
1048576    0.23100       0.22900       0.22900       0.22900       0.23000       0.23000       0.38100       0.37900       0.37800       0.37900       0.37900       0.38000      
2097152    0.22900       0.22900       0.22900       0.22900       0.22900       0.22900       0.37900       0.37800       0.37800       0.37800       0.37800       0.37800      
4194304    0.22900       0.22900       0.22900       0.22900       0.22900       0.22900       0.37800       0.37800       0.37800       0.37800       0.37800       0.37800      
8388608    0.22900       0.22900       0.22900       0.22900       0.22900       0.22900       0.37800       0.37800       0.37800       0.37800       0.37800       0.37800      
