size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       23.01100      17.12700      20.39100      22.09100      20.31000      0.00000       37.99600      28.28100      33.67000      36.47800      33.53700      0.00000      
2048       14.92300      4.72000       2.64500       2.15500       2.07800       2.08500       24.64100      7.79500       4.36800       3.55800       3.43200       3.44400      
4096       12.73800      2.35700       1.44700       1.45300       1.48200       1.47700       21.03300      3.89200       2.38900       2.39900       2.44700       2.43900      
8192       2.23000       1.51000       0.85200       0.81100       0.79100       0.78800       3.68300       2.49300       1.40700       1.34000       1.30600       1.30200      
16384      1.29800       0.73800       0.67900       0.66700       0.66600       0.66600       2.14400       1.21800       1.12200       1.10100       1.09900       1.09900      
32768      1.06400       0.60400       0.60400       0.61400       0.61900       0.61800       1.75700       0.99700       0.99800       1.01400       1.02200       1.02100      
65536      0.54000       0.44100       0.42100       0.42100       0.41500       0.41200       0.89200       0.72800       0.69600       0.69400       0.68500       0.68100      
131072     0.41000       0.35200       0.34100       0.32400       0.32400       0.32300       0.67700       0.58100       0.56300       0.53600       0.53500       0.53400      
262144     0.30600       0.27800       0.27500       0.27400       0.27300       0.27300       0.50600       0.45900       0.45400       0.45200       0.45100       0.45100      
524288     0.26400       0.25000       0.25000       0.25500       0.25700       0.25700       0.43500       0.41200       0.41400       0.42100       0.42400       0.42400      
1048576    0.23100       0.22900       0.22900       0.22900       0.22900       0.22900       0.38100       0.37900       0.37800       0.37800       0.37800       0.37800      
2097152    0.22900       0.22900       0.22900       0.22900       0.22900       0.22900       0.37900       0.37800       0.37800       0.37800       0.37800       0.37800      
4194304    0.22900       0.22900       0.22900       0.22900       0.22900       0.22900       0.37800       0.37800       0.37800       0.37800       0.37800       0.37800      
8388608    0.22900       0.22900       0.22900       0.22900       0.22900       0.22900       0.37800       0.37800       0.37800       0.37800       0.37800       0.37800      
