size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       23.01100      14.85700      15.58400      17.62400      19.58400      0.00000       37.99600      24.53300      25.73300      29.10100      32.33800      0.00000      
2048       14.92300      4.83600       3.25600       3.05700       2.88000       2.52300       24.64100      7.98500       5.37600       5.04700       4.75500       4.16700      
4096       12.73800      2.48500       1.71000       1.70200       1.67400       1.62600       21.03300      4.10400       2.82400       2.81000       2.76400       2.68400      
8192       2.23000       1.61900       1.06600       1.05300       1.04800       1.02800       3.68300       2.67300       1.76100       1.73900       1.73100       1.69800      
16384      1.29800       0.82700       0.81700       0.79600       0.79400       0.79100       2.14400       1.36600       1.34800       1.31400       1.31100       1.30600      
32768      1.06400       0.65000       0.63800       0.64300       0.63800       0.64000       1.75700       1.07400       1.05300       1.06200       1.05400       1.05600      
65536      0.54000       0.50400       0.49800       0.50400       0.50200       0.50300       0.89200       0.83200       0.82300       0.83300       0.82900       0.83100      
131072     0.41000       0.39500       0.40000       0.39700       0.40000       0.40300       0.67700       0.65200       0.66100       0.65600       0.66100       0.66500      
262144     0.30600       0.32100       0.33200       0.32700       0.33100       0.33100       0.50600       0.53000       0.54900       0.54000       0.54600       0.54600      
524288     0.26400       0.27700       0.27300       0.28000       0.29100       0.29900       0.43500       0.45700       0.45000       0.46200       0.48100       0.49300      
1048576    0.23100       0.23800       0.25100       0.25200       0.25500       0.25900       0.38100       0.39400       0.41500       0.41500       0.42000       0.42700      
2097152    0.22900       0.23000       0.23800       0.23700       0.24000       0.24200       0.37900       0.37900       0.39300       0.39100       0.39700       0.39900      
4194304    0.22900       0.22900       0.22900       0.23000       0.23200       0.23500       0.37800       0.37900       0.37800       0.37900       0.38300       0.38900      
8388608    0.22900       0.22900       0.22900       0.22900       0.23100       0.23300       0.37800       0.37800       0.37800       0.37800       0.38100       0.38500      
