size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       17.55900      9.89200       7.98300       6.80400       4.66300       0.00000       66.91900      37.69900      30.42500      25.93200      17.77200      0.00000      
2048       9.23400       3.91900       2.29500       2.11400       2.34600       3.57800       35.19400      14.93500      8.74600       8.05700       8.93900       13.63600     
4096       7.14800       2.69800       1.94100       1.87900       1.96600       2.21000       27.24000      10.28400      7.39600       7.16000       7.49300       8.42400      
8192       4.25200       1.90500       1.75000       1.73400       1.76600       1.85200       16.20700      7.25900       6.66900       6.60800       6.73200       7.05600      
16384      3.83000       1.60400       1.59100       1.62100       1.64600       1.68500       14.59800      6.11400       6.06300       6.18000       6.27200       6.42300      
32768      3.64200       1.54600       1.52700       1.53700       1.57100       1.60100       13.88200      5.89300       5.82000       5.85900       5.98800       6.10200      
65536      1.62700       1.51300       1.49300       1.49400       1.51000       1.54700       6.19900       5.76400       5.69100       5.69400       5.75600       5.89500      
131072     1.45400       1.44400       1.47000       1.47400       1.48300       1.50100       5.54200       5.50200       5.60100       5.61800       5.65100       5.71900      
262144     1.40300       1.33900       1.33200       1.44600       1.45500       1.46500       5.34900       5.10400       5.07600       5.51100       5.54700       5.58200      
524288     1.32500       1.27500       1.27700       1.28200       1.39600       1.40400       5.04900       4.86100       4.86800       4.88700       5.31900       5.35300      
1048576    1.14600       1.14600       1.15800       1.16700       1.17000       1.28100       4.36700       4.36600       4.41200       4.44600       4.45800       4.88300      
2097152    0.98500       0.96200       0.98400       1.01200       1.02500       1.03000       3.75300       3.66500       3.74900       3.85600       3.90500       3.92500      
4194304    0.83900       0.80000       0.81900       0.88000       0.93000       0.95400       3.19900       3.05000       3.12100       3.35500       3.54400       3.63500      
8388608    0.71900       0.68800       0.70900       0.77000       0.84900       0.90500       2.74100       2.62100       2.70200       2.93500       3.23600       3.44900      
