size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       17.55900      12.36700      11.49600      13.74700      8.27600       0.00000       66.91900      47.13100      43.81400      52.39200      31.54200      0.00000      
2048       9.23400       4.40400       2.52500       2.13500       2.12000       2.10600       35.19400      16.78500      9.62200       8.13600       8.07900       8.02600      
4096       7.14800       2.85600       2.02100       1.86800       1.85900       1.85900       27.24000      10.88500      7.70400       7.11900       7.08600       7.08400      
8192       4.25200       1.98400       1.77200       1.71100       1.69700       1.69100       16.20700      7.56200       6.75300       6.51900       6.46600       6.44300      
16384      3.83000       1.62800       1.60500       1.59900       1.58800       1.58400       14.59800      6.20300       6.11700       6.09300       6.05200       6.03700      
32768      3.64200       1.56100       1.54500       1.54100       1.54000       1.53800       13.88200      5.94900       5.88700       5.87400       5.86700       5.86100      
65536      1.62700       1.53000       1.52200       1.52100       1.52000       1.52000       6.19900       5.82900       5.80100       5.79500       5.79400       5.79400      
131072     1.45400       1.38100       1.39300       1.40800       1.42000       1.43100       5.54200       5.26300       5.30900       5.36600       5.41300       5.45300      
262144     1.40300       1.34000       1.33700       1.33800       1.33900       1.33900       5.34900       5.10700       5.09600       5.10100       5.10400       5.10300      
524288     1.32500       1.27600       1.28000       1.28300       1.28400       1.28600       5.04900       4.86500       4.87800       4.88900       4.89500       4.89900      
1048576    1.14600       1.13500       1.13400       1.13700       1.14000       1.14200       4.36700       4.32400       4.32200       4.33200       4.34300       4.35300      
2097152    0.98500       0.93200       0.89800       0.87300       0.85700       0.84700       3.75300       3.55400       3.42400       3.32700       3.26600       3.23000      
4194304    0.83900       0.77200       0.73300       0.71700       0.71100       0.70900       3.19900       2.94100       2.79500       2.73400       2.71000       2.70000      
8388608    0.71900       0.67200       0.65800       0.65400       0.65300       0.65300       2.74100       2.56000       2.50700       2.49300       2.48800       2.48700      
