size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       17.55900      9.83600       7.71300       7.04200       8.90800       0.00000       66.91900      37.48500      29.39500      26.83700      33.94800      0.00000      
2048       9.23400       3.92300       2.30800       2.15000       4.93800       7.79700       35.19400      14.95100      8.79600       8.19500       18.81800      29.71500     
4096       7.14800       2.70500       1.95900       1.90600       2.00700       4.80600       27.24000      10.31100      7.46500       7.26400       7.65000       18.31600     
8192       4.25200       1.91300       1.77000       1.76200       1.80200       1.89800       16.20700      7.29100       6.74500       6.71400       6.86700       7.23400      
16384      3.83000       1.61400       1.61400       1.65400       1.68400       1.73000       14.59800      6.15200       6.15200       6.30300       6.41900       6.59500      
32768      3.64200       1.55700       1.55800       1.58000       1.62200       1.65800       13.88200      5.93300       5.93900       6.02100       6.18200       6.31900      
65536      1.62700       1.52700       1.52800       1.54200       1.56600       1.60900       6.19900       5.81900       5.82300       5.87600       5.96800       6.13200      
131072     1.45400       1.47000       1.50900       1.51800       1.53400       1.55900       5.54200       5.60200       5.74900       5.78400       5.84500       5.94000      
262144     1.40300       1.34300       1.33800       1.49100       1.50100       1.51800       5.34900       5.11900       5.10100       5.68300       5.72200       5.78600      
524288     1.32500       1.27800       1.28400       1.29300       1.44500       1.45500       5.04900       4.87300       4.89500       4.92800       5.50800       5.54500      
1048576    1.14600       1.14900       1.16700       1.17900       1.18500       1.33400       4.36700       4.37900       4.44600       4.49500       4.51600       5.08500      
2097152    0.98500       0.96500       0.99500       1.02800       1.04400       1.05200       3.75300       3.67800       3.79000       3.91900       3.97900       4.00900      
4194304    0.83900       0.80300       0.82800       0.89700       0.95200       0.97800       3.19900       3.05900       3.15400       3.42000       3.62700       3.72600      
8388608    0.71900       0.68900       0.71400       0.78100       0.86800       0.92800       2.74100       2.62600       2.72100       2.97800       3.30900       3.53700      
