size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       17.55900      10.83500      9.32400       9.38800       5.43500       0.00000       66.91900      41.29200      35.53500      35.78000      20.71200      0.00000      
2048       9.23400       3.90000       2.17400       1.87700       1.85200       1.85100       35.19400      14.86200      8.28400       7.15200       7.05800       7.05300      
4096       7.14800       2.66000       1.85600       1.74800       1.74400       1.74300       27.24000      10.13600      7.07400       6.66400       6.64700       6.64400      
8192       4.25200       1.90100       1.69000       1.64300       1.63400       1.62900       16.20700      7.24700       6.44000       6.26300       6.22700       6.20700      
16384      3.83000       1.59300       1.56500       1.55800       1.54900       1.54600       14.59800      6.07200       5.96300       5.93600       5.90400       5.89200      
32768      3.64200       1.54200       1.52500       1.52100       1.52000       1.51800       13.88200      5.87700       5.81300       5.79800       5.79100       5.78700      
65536      1.62700       1.52000       1.51200       1.51100       1.51000       1.51000       6.19900       5.79200       5.76300       5.75700       5.75600       5.75500      
131072     1.45400       1.37300       1.38700       1.39300       1.40300       1.36100       5.54200       5.23100       5.28500       5.31100       5.34700       5.18800      
262144     1.40300       1.33500       1.33400       1.33500       1.33600       1.33600       5.34900       5.08800       5.08500       5.08900       5.09100       5.09100      
524288     1.32500       1.27400       1.27600       1.27800       1.28000       1.28000       5.04900       4.85400       4.86400       4.87200       4.87700       4.87900      
1048576    1.14600       1.13300       1.13200       1.13500       1.13800       1.14200       4.36700       4.31800       4.31500       4.32600       4.33900       4.35300      
2097152    0.98500       0.92900       0.89200       0.86200       0.84100       0.82700       3.75300       3.54100       3.39800       3.28600       3.20400       3.15100      
4194304    0.83900       0.76400       0.71400       0.68900       0.67800       0.67500       3.19900       2.91200       2.72100       2.62600       2.58600       2.57200      
8388608    0.71900       0.66300       0.64200       0.63700       0.63600       0.63600       2.74100       2.52500       2.44600       2.42700       2.42300       2.42200      
