size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       17.55900      11.10300      10.26800      11.30200      4.68600       0.00000       66.91900      42.31700      39.13400      43.07300      17.85800      0.00000      
2048       9.23400       4.54700       2.60500       2.20500       2.15200       2.11300       35.19400      17.32800      9.92800       8.40400       8.20100       8.05200      
4096       7.14800       2.87700       2.08200       1.90200       1.88100       1.86800       27.24000      10.96400      7.93400       7.24800       7.16800       7.11700      
8192       4.25200       2.02700       1.81900       1.74000       1.72300       1.71000       16.20700      7.72600       6.93200       6.63000       6.56500       6.51600      
16384      3.83000       1.65500       1.63900       1.63500       1.62300       1.61400       14.59800      6.30700       6.24800       6.23000       6.18500       6.15200      
32768      3.64200       1.57900       1.56300       1.56500       1.56600       1.56100       13.88200      6.01700       5.95800       5.96400       5.96800       5.95100      
65536      1.62700       1.51900       1.50800       1.50700       1.50700       1.50700       6.19900       5.79000       5.74900       5.74200       5.74500       5.74500      
131072     1.45400       1.38800       1.40200       1.40700       1.40900       1.41100       5.54200       5.29200       5.34300       5.36400       5.37200       5.37800      
262144     1.40300       1.34100       1.33900       1.34200       1.34200       1.34300       5.34900       5.11000       5.10400       5.11300       5.11600       5.11700      
524288     1.32500       1.26900       1.26400       1.26300       1.26400       1.26400       5.04900       4.83600       4.81800       4.81500       4.81700       4.81600      
1048576    1.14600       1.13300       1.12500       1.12100       1.11900       1.11900       4.36700       4.31900       4.28600       4.27200       4.26500       4.26300      
2097152    0.98500       0.95600       0.94500       0.93800       0.93400       0.93200       3.75300       3.64300       3.60000       3.57400       3.55900       3.55000      
4194304    0.83900       0.80900       0.79600       0.79100       0.78800       0.78700       3.19900       3.08200       3.03300       3.01500       3.00500       2.99800      
8388608    0.71900       0.70300       0.69900       0.69600       0.69600       0.69600       2.74100       2.68100       2.66300       2.65100       2.65300       2.65100      
