size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       40.22500      36.38100      36.86700      41.12200      59.05400      0.00000       161.54800     146.11000     148.06400     165.15300     237.16800     0.00000      
2048       37.37500      35.11800      35.26400      35.97700      40.11700      57.84400      150.10200     141.03700     141.62600     144.48700     161.11400     232.30900    
4096       35.62100      34.34600      34.44800      34.68900      35.24300      39.24900      143.05900     137.93800     138.34600     139.31500     141.53900     157.62700    
8192       34.71000      33.94100      33.96300      34.08100      34.34700      34.92700      139.40100     136.31300     136.40000     136.87500     137.94100     140.27200    
16384      33.85100      33.63600      33.54800      33.55900      33.65400      33.89500      135.94900     135.08800     134.73400     134.77900     135.15700     136.12600    
32768      32.83000      32.54200      32.86400      32.85700      32.88400      32.98900      131.84800     130.69400     131.98800     131.95600     132.06600     132.48700    
65536      32.17600      30.42300      29.55500      29.24200      29.03500      29.58300      129.22100     122.18200     118.69600     117.44100     116.60700     118.80900    
131072     30.85700      28.84200      25.91400      22.55300      18.80400      18.61800      123.92700     115.83400     104.07600     90.57600      75.51900      74.77400     
262144     27.58500      25.34200      23.05900      18.01100      15.28600      14.69300      110.78400     101.77600     92.60900      72.33700      61.39100      59.01000     
524288     24.54200      21.26000      14.20600      14.22800      13.10300      10.93200      98.56400      85.38300      57.05400      57.14000      52.62500      43.90400     
1048576    22.72100      19.37600      11.63700      10.58000      10.47000      9.87600       91.24900      77.81500      46.73600      42.48900      42.04800      39.66300     
2097152    19.82800      18.86500      10.36500      8.88300       6.89000       7.67300       79.63300      75.76600      41.62600      35.67500      27.67200      30.81700     
4194304    11.68600      10.17900      9.68500       7.76200       5.38800       5.96900       46.93300      40.88000      38.89500      31.17400      21.63700      23.97400     
8388608    7.20600       8.30000       7.48500       6.86300       4.18000       4.02900       28.93900      33.33300      30.06200      27.56300      16.78700      16.18200     
