size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       40.22500      38.36100      37.77800      37.54700      36.80400      0.00000       161.54800     154.06500     151.72200     150.79200     147.80800     0.00000      
2048       37.37500      35.91700      35.63600      35.55400      35.57600      35.53600      150.10200     144.24600     143.11800     142.79100     142.87800     142.71800    
4096       35.62100      34.64000      34.62000      34.64700      34.31600      34.28600      143.05900     139.11800     139.03800     139.14500     137.81900     137.69800    
8192       34.71000      34.10400      34.08000      34.07700      34.07600      34.07700      139.40100     136.96600     136.87000     136.85700     136.85500     136.85900    
16384      33.85100      33.86100      33.87500      33.89400      33.90300      33.90600      135.94900     135.98900     136.04600     136.12400     136.15700     136.17000    
32768      32.83000      32.87200      33.43800      33.48100      33.51900      33.53600      131.84800     132.01900     134.29200     134.46400     134.61700     134.68400    
65536      32.17600      31.36900      30.86500      30.70500      30.89400      32.00900      129.22100     125.98200     123.95800     123.31600     124.07400     128.55100    
131072     30.85700      30.70700      28.30700      24.22900      22.09200      22.07800      123.92700     123.32300     113.68500     97.30800      88.72400      88.66600     
262144     27.58500      26.29300      25.29600      21.21200      21.34600      21.36200      110.78400     105.59500     101.59000     85.18900      85.73000      85.79400     
524288     24.54200      22.07700      14.79600      15.26700      16.66000      16.93300      98.56400      88.66400      59.42400      61.31600      66.90900      68.00600     
1048576    22.72100      20.58100      13.17400      14.01700      11.79500      6.15700       91.24900      82.65700      52.90800      56.29300      47.37200      24.72900     
2097152    19.82800      20.16800      12.09600      12.74400      1.81900       1.93100       79.63300      80.99700      48.57700      51.18100      7.30400       7.75400      
4194304    11.68600      11.49800      11.57200      11.61600      0.94400       0.67600       46.93300      46.17700      46.47400      46.65200      3.79200       2.71600      
8388608    7.20600       10.33900      11.32200      0.64600       0.56600       28.93900      41.52200      45.47100      2.59400       2.27100       0.00000       0.00000      
