size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       40.22500      36.38800      36.92400      41.49500      67.04100      0.00000       161.54800     146.13800     148.29100     166.64800     269.24600     0.00000      
2048       37.37500      35.12500      35.28600      36.01800      40.42600      65.36100      150.10200     141.06800     141.71300     144.65400     162.35500     262.49700    
4096       35.62100      34.35400      34.46700      34.74200      35.38100      39.65000      143.05900     137.97100     138.42500     139.53000     142.09400     159.23800    
8192       34.71000      33.98400      34.00100      34.12100      34.43100      35.06000      139.40100     136.48500     136.55300     137.03600     138.27800     140.80600    
16384      33.85100      33.64200      33.59500      33.61900      33.72300      33.97300      135.94900     135.11100     134.92100     135.01800     135.43500     136.43900    
32768      32.83000      32.56000      32.91600      32.94300      32.97200      33.08000      131.84800     130.76500     132.19500     132.30500     132.41900     132.85400    
65536      32.17600      30.38500      29.29800      28.95800      28.72800      29.26300      129.22100     122.03000     117.66500     116.30000     115.37500     117.52200    
131072     30.85700      28.75000      25.71200      22.33100      18.67200      18.53200      123.92700     115.46400     103.26400     89.68500      74.99100      74.42700     
262144     27.58500      26.33300      22.84900      17.91100      15.10500      14.41600      110.78400     105.75800     91.76500      71.93200      60.66300      57.89500     
524288     24.54200      21.36300      14.54700      15.58300      13.43300      11.21100      98.56400      85.79700      58.42400      62.58400      53.94700      45.02400     
1048576    22.72100      19.70500      12.37000      11.04800      11.52300      10.62200      91.24900      79.13800      49.68000      44.37000      46.27600      42.66000     
2097152    19.82800      19.12200      11.05600      9.31900       7.48300       8.97000       79.63300      76.79800      44.40200      37.42700      30.05200      36.02300     
4194304    11.68600      10.52300      10.19500      8.32000       6.11200       6.99200       46.93300      42.26400      40.94500      33.41300      24.54700      28.08300     
8388608    7.20600       8.99000       8.26400       7.77500       5.51300       5.58300       28.93900      36.10500      33.19100      31.22600      22.13900      22.42100     
