size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       40.22500      36.28000      35.37200      35.38700      35.35600      0.00000       161.54800     145.70500     142.06000     142.11800     141.99600     0.00000      
2048       37.37500      35.00300      34.75300      34.72200      34.75200      34.79000      150.10200     140.57700     139.57200     139.44700     139.57000     139.72200    
4096       35.62100      34.25600      34.19800      34.20100      33.98200      33.95300      143.05900     137.57600     137.34400     137.35400     136.47500     136.36000    
8192       34.71000      33.91800      33.89600      33.89400      33.89500      33.89700      139.40100     136.22000     136.13300     136.12100     136.12700     136.13400    
16384      33.85100      33.76700      33.77300      33.78700      33.79200      33.79400      135.94900     135.61300     135.63600     135.69300     135.71200     135.72300    
32768      32.83000      33.40800      33.44600      33.47200      33.48300      131.84800     134.17000     134.32300     134.42700     134.47100     0.00000       0.00000      
65536      32.17600      31.37900      31.15700      31.47100      31.53200      32.24000      129.22100     126.02400     125.13200     126.39000     126.63800     129.48000    
131072     30.85700      30.73500      28.57500      25.49400      21.86800      21.85900      123.92700     123.43700     114.76100     102.38900     87.82300      87.79100     
262144     27.58500      26.54900      25.87700      22.31700      21.32000      21.32000      110.78400     106.62300     103.92500     89.62800      85.62400      85.62200     
524288     24.54200      22.14000      14.95600      15.70000      16.84600      17.76400      98.56400      88.91500      60.06300      63.05400      67.65700      71.34200     
1048576    22.72100      20.59400      13.19100      13.98600      12.72700      8.23700       91.24900      82.70900      52.97700      56.17000      51.11300      33.08000     
2097152    19.82800      12.09700      12.73900      2.35900       2.47800       79.63300      48.58400      51.16000      9.47300       9.95300       0.00000       0.00000      
4194304    11.68600      11.49300      11.57800      11.72400      1.24500       0.69900       46.93300      46.15700      46.49700      47.08700      4.99900       2.80800      
8388608    7.20600       10.33500      11.31800      11.31600      0.70000       0.54000       28.93900      41.50700      45.45600      45.44700      2.81200       2.16700      
