size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       32.69100      0.00000       123.04400     0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
2048       31.06400      36.60600      50.66700      116.92100     137.77900     190.70600     0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
4096       30.53700      30.81400      31.48400      35.85700      114.93800     115.98000     118.50200     134.96100     0.00000       0.00000       0.00000       0.00000      
8192       30.65800      29.72300      29.95500      115.39400     111.87300     112.74700     0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
16384      27.85800      27.61500      27.55200      104.85500     103.94000     103.70400     0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
32768      26.14200      24.49400      23.97900      23.80100      98.39700      92.19100      90.25300      89.58600      0.00000       0.00000       0.00000       0.00000      
65536      9.32400       9.27000       35.09600      34.89200      0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
131072     7.99300       2.29400       5.44900       30.08400      8.63400       20.51000      0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
262144     1.16500       4.38700       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
524288     0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
1048576    1.01300       0.75000       0.65900       0.65200       0.66700       3.81300       2.82400       2.48200       2.45600       2.51000       0.00000       0.00000      
2097152    0.36800       0.30800       0.22400       1.38500       1.16000       0.84200       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
4194304    0.01000       0.00600       0.00500       0.00500       0.00500       0.00500       0.03700       0.02300       0.01700       0.01700       0.01700       0.01700      
8388608    0.00200       0.00200       0.00200       0.00200       0.00200       0.00200       0.00800       0.00800       0.00800       0.00800       0.00800       0.00800      
