size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       35.24600      33.12800      32.64700      32.49000      32.04600      0.00000       132.66100     124.69000     122.88100     122.28900     120.61800     0.00000      
2048       32.92100      31.47700      31.12500      31.11000      31.16700      31.15100      123.90900     118.47500     117.15100     117.09500     117.31000     117.24800    
4096       31.52100      30.67900      30.62700      30.61300      30.47800      30.39200      118.64200     115.47400     115.27700     115.22400     114.71500     114.39100    
8192       30.66100      30.17800      30.15900      30.16600      30.17400      30.17600      115.40300     113.58700     113.51400     113.54100     113.57200     113.58000    
16384      29.71100      29.63700      29.66900      29.78500      29.79500      29.82400      111.82900     111.54900     111.67200     112.10800     112.14600     112.25300    
32768      26.18500      27.49500      28.01700      28.18200      28.35700      28.42200      98.55900      103.48900     105.45100     106.07300     106.73300     106.97600    
65536      14.79000      14.98600      15.65900      15.21900      14.96900      15.35300      55.66700      56.40700      58.93800      57.28100      56.34200      57.78900     
131072     8.03600       2.76400       2.23700       1.57300       1.51300       1.51800       30.24600      10.40300      8.41900       5.92000       5.69500       5.71400      
262144     4.46500       1.57400       1.27000       1.28000       1.28600       1.28800       16.80400      5.92500       4.78100       4.81600       4.83900       4.84800      
524288     2.58000       1.16400       1.07300       1.07100       1.07800       1.08300       9.71000       4.38200       4.04000       4.03000       4.05700       4.07700      
1048576    1.49900       1.02200       0.76200       0.65400       0.64000       0.65000       5.64300       3.84800       2.87000       2.46000       2.41000       2.44700      
2097152    0.36800       0.29700       0.31000       0.09200       0.06400       0.06300       1.38400       1.11800       1.16900       0.34500       0.24200       0.23900      
4194304    0.01000       0.00700       0.00500       0.00500       0.00500       0.00500       0.03700       0.02500       0.01900       0.02000       0.01700       0.01700      
8388608    0.00200       0.00200       0.00200       0.00200       0.00200       0.00200       0.00800       0.00800       0.00800       0.00800       0.00800       0.00800      
