size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       35.29000      32.09600      32.90900      38.14100      83.33100      0.00000       132.82600     120.80600     123.86400     143.55900     387.77200     0.00000      
2048       32.90700      31.09600      31.35400      32.23600      37.25200      58.89200      123.86000     117.04000     118.01400     121.33100     140.21200     221.66300    
4096       31.52000      30.44500      30.56800      30.91200      31.69400      36.24700      118.63800     114.58900     115.05600     116.34800     119.29100     136.43000    
8192       30.65800      29.72700      29.27300      29.23400      29.39700      29.77300      115.39400     111.89000     110.17900     110.03400     110.64700     112.06100    
16384      29.66800      28.38200      27.74800      27.56500      27.47600      27.63600      111.66700     106.82500     104.43900     103.75300     103.41600     104.02000    
32768      26.14200      24.99300      24.67400      24.03300      23.87400      23.78500      98.39700      94.07200      92.87100      90.45900      89.86000      89.52500     
65536      14.74700      13.28500      11.86900      10.24100      9.94000       10.21600      55.50500      50.00300      44.67200      38.54700      37.41200      38.45400     
131072     7.99300       2.28500       2.16500       1.68100       6.45700       6.79200       30.08400      8.60000       8.14700       6.32600       24.30200      25.56500     
262144     4.44300       1.39600       1.16600       1.18400       1.23300       5.95000       16.72300      5.25600       4.38800       4.45600       4.64200       22.39700     
524288     2.55800       1.11600       1.03900       1.03800       1.04900       1.07100       9.62900       4.20000       3.91200       3.90600       3.94900       4.03200      
1048576    1.49900       1.01300       0.75000       0.65900       0.65200       0.66700       5.64300       3.81300       2.82300       2.48100       2.45500       2.51000      
2097152    0.36800       0.30800       0.49800       0.22400       0.17900       0.17700       1.38400       1.15900       1.87500       0.84100       0.67400       0.66600      
4194304    0.01000       0.00600       0.00500       0.00500       0.00500       0.00500       0.03700       0.02300       0.01700       0.01700       0.01700       0.01700      
8388608    0.00200       0.00200       0.00200       0.00200       0.00200       0.00200       0.00800       0.00800       0.00800       0.00800       0.00800       0.00800      
