size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       35.29000      31.16800      0.00000       132.82600     117.31400     0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
2048       32.90700      123.86000     0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
4096       44.77600      30.38000      208.36400     114.34700     0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
8192       30.65800      30.03900      115.39400     113.06400     0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
16384      29.69500      29.70300      29.71700      111.76800     111.79700     111.85200     0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
32768      26.14200      28.31100      28.44300      98.39700      106.56000     107.05600     0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
65536      14.74700      15.89400      17.14600      55.50500      59.82400      64.53400      0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
131072     7.99300       2.67900       2.26000       30.08400      10.08300      8.50800       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
262144     4.44300       1.48800       1.16600       16.72300      5.60000       4.38700       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
524288     2.55800       1.13600       1.04200       1.04000       1.04300       9.62900       4.27500       3.92200       3.91300       3.92500       0.00000       0.00000      
1048576    1.49900       1.01600       0.75300       0.66700       0.65800       0.67000       5.64300       3.82400       2.83600       2.51100       2.47500       2.52200      
2097152    0.36800       0.31300       0.22700       0.18300       0.18600       1.38400       1.17800       0.85400       0.68900       0.69900       0.00000       0.00000      
4194304    0.01000       0.00700       0.00500       0.00500       0.00500       0.00500       0.03700       0.02600       0.01700       0.01700       0.01700       0.01700      
8388608    0.00200       0.00200       0.00200       0.00200       0.00200       0.00200       0.00800       0.00800       0.00800       0.00800       0.00800       0.00800      
