size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       35.29000      33.88000      0.00000       132.82600     127.51800     0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
2048       32.04400      31.51000      31.11100      120.60900     118.60100     117.09600     0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
4096       31.52000      30.95100      3.17000       30.36300      30.44400      118.63800     116.49700     11.70100      114.28100     114.58900     0.00000       0.00000      
8192       30.65800      30.25400      30.10400      29.94800      115.39400     113.87300     113.30800     112.72200     0.00000       0.00000       0.00000       0.00000      
16384      29.66800      29.23700      29.00700      28.70400      29.01200      111.66700     110.04300     109.17900     108.04000     109.19700     0.00000       0.00000      
32768      26.14200      24.75400      24.63100      24.66300      98.39700      93.17200      92.70700      92.82900      0.00000       0.00000       0.00000       0.00000      
65536      12.42900      12.15900      12.28100      46.78100      45.76500      46.22500      0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
131072     7.99300       2.59000       2.44800       2.49200       30.08400      9.74800       9.21400       9.38100       0.00000       0.00000       0.00000       0.00000      
262144     4.44300       1.45200       1.46600       16.72300      5.46500       5.51600       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
524288     2.55800       0.96400       0.94400       1.00500       9.62900       3.62700       3.55400       3.78400       0.00000       0.00000       0.00000       0.00000      
1048576    1.49900       0.91700       0.50900       0.43000       0.41600       5.64300       3.45300       1.91500       1.62000       1.56700       0.00000       0.00000      
2097152    0.36800       0.22300       0.21800       0.07700       0.05800       1.38400       0.83900       0.82200       0.29100       0.22000       0.00000       0.00000      
4194304    0.01000       0.00700       0.00500       0.00500       0.00500       0.03700       0.02500       0.02000       0.02000       0.02000       0.00000       0.00000      
8388608    0.00200       0.00300       0.00300       0.00400       0.00400       0.00800       0.01000       0.01200       0.01300       0.01400       0.00000       0.00000      
