size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       38.15600      34.18600      35.47500      38.77100      49.61500      0.00000       153.14700     137.21200     142.38600     155.61600     199.13800     0.00000      
2048       33.30800      30.66400      30.55700      31.77600      34.80600      44.25700      133.68600     123.07600     122.64700     127.54000     139.70100     177.63500    
4096       30.01400      27.96700      28.12200      28.95800      31.42100      120.46500     112.25100     112.87400     116.22700     126.11300     0.00000       0.00000      
8192       27.78000      26.62000      26.52600      26.84400      27.28900      28.29400      111.50200     106.84500     106.46700     107.74500     109.52700     113.56100    
16384      26.19200      24.14600      22.96900      24.39800      24.53900      24.84500      105.12800     96.91600      92.18900      97.92400      98.49100      99.71900     
32768      25.62500      22.44500      18.20100      16.91000      16.85400      16.86800      102.84900     90.08700      73.05100      67.87300      67.64500      67.70300     
65536      24.83300      20.82100      15.89800      14.43600      14.01500      13.95600      99.67200      83.56900      63.80800      57.94100      56.25200      56.01600     
131072     20.85500      19.29000      11.77800      10.20100      9.00900       8.51900       83.70600      77.42600      47.27500      40.94500      36.16000      34.19300     
262144     7.47700       7.14400       6.68400       2.29000       7.17800       7.36600       30.01100      28.67500      26.82800      9.19000       28.80900      29.56300     
524288     3.52300       0.78500       0.78500       0.90100       0.55500       5.22500       14.13900      3.15000       3.15200       3.61800       2.22800       20.97300     
1048576    1.32500       0.45300       0.43900       0.45400       0.47000       0.39300       5.31700       1.81700       1.76200       1.82400       1.88700       1.57700      
2097152    0.00800       0.00700       0.00800       0.00800       0.01000       0.01100       0.03000       0.02900       0.03100       0.03400       0.04100       0.04300      
4194304    0.00700       0.00600       0.00600       0.00600       0.00600       0.00600       0.02700       0.02500       0.02500       0.02500       0.02500       0.02500      
8388608    0.00600       0.00600       0.00600       0.00600       0.00600       0.00600       0.02500       0.02500       0.02500       0.02500       0.02500       0.02500      
