size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       37.71100      36.48200      35.20500      34.90600      33.73600      0.00000       151.36100     146.42800     141.30000     140.10300     135.40700     0.00000      
2048       33.22200      31.76500      31.64200      31.12100      31.29600      31.17400      133.34200     127.49300     127.00200     124.90900     125.61400     125.12100    
4096       29.93200      28.95700      28.78400      28.80600      27.62300      27.51200      120.13900     116.22500     115.53200     115.61700     110.86900     110.42500    
8192       27.70200      27.18200      27.02100      27.09900      27.06900      27.07800      111.18900     109.10100     108.45400     108.76500     108.64600     108.68300    
16384      26.46200      24.56300      23.91800      25.87600      25.96300      25.95200      106.20800     98.58800      95.99800      103.85900     104.20700     104.16300    
32768      25.89500      23.60100      19.65800      18.94100      18.99500      19.02900      103.93500     94.72600      78.90000      76.02400      76.24000      76.37500     
65536      25.10400      22.89800      19.00700      18.59900      18.59900      18.59900      100.75900     91.90600      76.28900      74.65000      74.65000      74.65100     
131072     21.12800      21.71600      16.40100      17.32300      17.67800      13.56700      84.80000      87.16200      65.82800      69.53000      70.95500      54.45300     
262144     7.61300       8.26700       9.05000       2.29000       1.50400       0.95700       30.55700      33.18200      36.32400      9.19200       6.03700       3.84200      
524288     3.65900       0.91300       0.94000       0.94800       0.67400       0.67200       14.68600      3.66300       3.77300       3.80400       2.70400       2.69800      
1048576    1.32500       0.48800       0.47800       0.49800       0.51000       0.42200       5.31600       1.95900       1.91900       1.99700       2.04800       1.69300      
2097152    0.00700       0.00700       0.00800       0.00800       0.00900       0.00900       0.03000       0.02900       0.03000       0.03100       0.03600       0.03800      
4194304    0.00700       0.00600       0.00600       0.00600       0.00600       0.00600       0.02600       0.02500       0.02500       0.02500       0.02500       0.02500      
8388608    0.00600       0.00600       0.00600       0.00600       0.00600       0.00600       0.02500       0.02500       0.02500       0.02500       0.02500       0.02500      
