size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       37.71100      35.09900      35.85000      39.56900      58.43500      0.00000       151.36100     140.87800     143.89100     158.81900     234.54000     0.00000      
2048       33.22200      30.81400      30.92300      31.74800      34.84700      53.12000      133.34200     123.67800     124.11500     127.42700     139.86400     213.20700    
4096       29.93200      28.08700      28.17000      28.57900      29.44600      32.42700      120.13900     112.73200     113.06600     114.70900     118.18900     130.15300    
8192       27.70200      26.90800      26.70500      27.06300      27.67700      28.85500      111.18900     108.00000     107.18400     108.62100     111.08600     115.81700    
16384      26.46200      24.25500      22.92900      24.19200      24.14800      24.41400      106.20800     97.35200      92.02900      97.10000      96.92200      97.98800     
32768      25.89500      22.53700      18.07400      16.87500      16.87600      16.88500      103.93500     90.45800      72.54400      67.73100      67.73400      67.77100     
65536      25.10400      20.87800      15.49900      13.97900      13.82700      13.96100      100.75900     83.79800      62.20600      56.10800      55.49600      56.03500     
131072     21.12800      19.51400      11.21400      9.86600       8.67000       8.64700       84.80000      78.32500      45.01000      39.60000      34.79800      34.70400     
262144     7.61300       6.67900       6.11300       2.45000       7.99800       7.73800       30.55700      26.80600      24.53500      9.83400       32.10000      31.05900     
524288     3.65900       0.78400       0.77100       0.92300       0.55800       6.57600       14.68600      3.14600       3.09300       3.70300       2.24000       26.39600     
1048576    1.32500       0.45200       0.43900       0.45400       0.47100       0.39500       5.31600       1.81600       1.76200       1.82400       1.88900       1.58400      
2097152    0.00700       0.00700       0.00800       0.00800       0.01000       0.01100       0.03000       0.02900       0.03100       0.03400       0.04100       0.04300      
4194304    0.00700       0.00600       0.00600       0.00600       0.00600       0.00600       0.02600       0.02500       0.02500       0.02500       0.02500       0.02500      
8388608    0.00600       0.00600       0.00600       0.00600       0.00600       0.00600       0.02500       0.02500       0.02500       0.02500       0.02500       0.02500      
