size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       38.15600      33.53300      32.43200      32.51900      32.41900      0.00000       153.14700     134.59300     130.17300     130.52100     130.12200     0.00000      
2048       33.30800      30.52500      30.12600      29.91400      30.01400      30.22300      133.68600     122.51800     120.91600     120.06500     120.46500     121.30800    
4096       30.01400      28.17200      27.99200      28.04300      27.24700      27.13600      120.46500     113.07200     112.35000     112.55800     109.36200     108.91600    
8192       27.78000      26.84300      26.88000      26.91400      26.89800      26.90200      111.50200     107.73800     107.88800     108.02600     107.95800     107.97600    
16384      26.19200      24.62200      24.00100      25.85200      25.95300      25.95100      105.12800     98.82500      96.33100      103.76000     104.16500     104.16100    
32768      25.62500      23.71500      19.88300      18.77900      18.84000      18.85300      102.84900     95.18500      79.80300      75.37500      75.61900      75.67000     
65536      24.83300      23.06700      19.13700      18.55700      18.55500      18.55500      99.67200      92.58200      76.81100      74.48000      74.47200      74.47400     
131072     20.85500      22.00700      16.73300      17.84800      18.15500      83.70600      88.32900      67.16000      71.63500      72.86800      0.00000       0.00000      
262144     7.47700       8.35500       9.38200       3.98700       2.29300       0.61100       30.01100      33.53400      37.65700      16.00200      9.20300       2.45100      
524288     3.52300       0.90700       0.98900       1.25500       0.53700       0.53500       14.13900      3.63900       3.96800       5.03800       2.15700       2.14700      
1048576    1.32500       0.47800       0.44000       0.45500       0.46300       0.38300       5.31700       1.91800       1.76800       1.82800       1.85700       1.53600      
2097152    0.00800       0.00700       0.00800       0.00800       0.01000       0.01100       0.03000       0.02900       0.03100       0.03400       0.04100       0.04300      
4194304    0.00700       0.00600       0.00600       0.00600       0.00600       0.00600       0.02700       0.02500       0.02500       0.02500       0.02500       0.02500      
8388608    0.00600       0.00600       0.00600       0.00600       0.00600       0.00600       0.02500       0.02500       0.02500       0.02500       0.02500       0.02500      
