size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       37.71100      36.46100      35.94800      35.52000      34.24300      0.00000       151.36100     146.34500     144.28200     142.56500     137.44100     0.00000      
2048       33.22200      31.69100      31.58900      31.12400      31.24700      30.75900      133.34200     127.19800     126.78700     124.92100     125.41400     123.45700    
4096       29.93200      28.77300      28.47200      28.26000      27.39300      27.68900      120.13900     115.48500     114.27600     113.42700     109.94700     111.13600    
8192       27.70200      26.71000      26.45200      26.55500      26.40400      26.13500      111.18900     107.20500     106.17100     106.58400     105.97900     104.89900    
16384      26.46200      24.05700      22.30400      22.43400      22.40200      22.47800      106.20800     96.55900      89.52000      90.04300      89.91400      90.22100     
32768      25.89500      23.02500      19.82200      19.10300      18.95000      19.06100      103.93500     92.41400      79.55900      76.67200      76.06100      76.50600     
65536      25.10400      21.73500      18.49400      17.89800      17.77800      17.92000      100.75900     87.23900      74.23100      71.83700      71.35300      71.92600     
131072     21.12800      19.64400      13.14000      12.46600      12.44100      12.37800      84.80000      78.84600      52.74100      50.03300      49.93600      49.68100     
262144     7.61300       7.20000       7.15600       2.96400       2.42000       2.09400       30.55700      28.89800      28.72100      11.89500      9.71300       8.40300      
524288     3.65900       0.95700       1.27400       1.58300       0.79700       0.77300       14.68600      3.84100       5.11500       6.35500       3.19800       3.10200      
1048576    1.32500       0.42100       0.32900       0.38800       0.42600       0.26500       5.31600       1.68900       1.32100       1.55700       1.71100       1.06400      
2097152    0.00700       0.00900       0.01200       0.01200       0.01300       0.01300       0.03000       0.03800       0.04600       0.04900       0.05200       0.05400      
4194304    0.00700       0.00700       0.00700       0.00800       0.00800       0.00800       0.02600       0.02700       0.02900       0.03100       0.03300       0.03400      
8388608    0.00600       0.00600       0.00600       0.00700       0.00700       0.00700       0.02500       0.02500       0.02500       0.02800       0.02700       0.02800      
