size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       19.77700      15.03400      15.41900      16.55700      22.56800      0.00000       59.26500      45.05100      46.20300      49.61500      67.62600      0.00000      
2048       16.55400      13.90400      14.29700      14.95600      16.12200      22.07400      49.60500      41.66400      42.84300      44.81700      48.31200      66.14800     
4096       14.41600      12.38300      12.26000      12.19900      12.30600      12.65700      43.19800      37.10600      36.73800      36.55500      36.87600      37.92700     
8192       13.24600      11.69300      11.30000      11.14300      11.03400      11.00600      39.69300      35.03800      33.86100      33.39000      33.06500      32.98200     
16384      11.19000      10.41400      10.61300      10.45500      10.46900      10.50200      33.53100      31.20700      31.80200      31.33000      31.37300      31.47000     
32768      8.01600       8.40600       8.41400       10.34100      10.39700      10.45200      24.02100      25.18900      25.21200      30.98700      31.15600      31.32100     
65536      5.67200       5.28600       5.27300       5.64000       10.33200      10.38900      16.99600      15.84000      15.80100      16.90000      30.96200      31.13100     
131072     5.39100       5.13100       5.14200       5.25100       5.60600       10.29800      16.15500      15.37600      15.40800      15.73500      16.79900      30.85900     
262144     5.19300       5.12100       5.11700       5.12900       5.22300       5.53400       15.56200      15.34700      15.33400      15.37000      15.65200      16.58500     
524288     4.92000       4.94500       5.06600       5.06600       5.07500       5.14200       14.74500      14.81800      15.17900      15.18200      15.20900      15.41000     
1048576    4.29000       4.09100       4.37800       4.62900       4.63600       4.64700       12.85700      12.25800      13.11800      13.87000      13.89300      13.92400     
2097152    2.23900       1.35200       1.36300       1.63000       1.93900       2.03500       6.71000       4.05000       4.08400       4.88300       5.80900       6.09900      
4194304    2.19300       0.00100       0.00000       0.00000       0.00000       0.00000       6.57200       0.00200       0.00000       0.00000       0.00000       0.00000      
8388608    0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00100       0.00100       0.00000       0.00000       0.00000       0.00000      
