size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       19.77700      14.96300      14.85300      14.80500      14.70900      0.00000       59.26500      44.83800      44.50900      44.36500      44.07600      0.00000      
2048       16.55400      13.97300      14.03900      14.15600      14.16100      14.14800      49.60500      41.87000      42.06800      42.41900      42.43400      42.39600     
4096       14.41600      13.10100      13.09100      13.06000      13.03900      13.03800      43.19800      39.25900      39.22800      39.13600      39.07400      39.07100     
8192       13.24600      12.68600      12.68500      12.68800      12.70300      12.72000      39.69300      38.01600      38.01100      38.02100      38.06500      38.11700     
16384      11.19000      11.36300      12.27800      12.35000      12.34200      12.39600      33.53100      34.05100      36.79100      37.00700      36.98500      37.14600     
32768      8.01600       8.01900       7.42800       6.34400       6.55400       6.82300       24.02100      24.02900      22.25800      19.01000      19.63900      20.44700     
65536      5.67200       5.33800       5.20200       5.20000       5.20000       5.20000       16.99600      15.99600      15.58900      15.58300      15.58300      15.58200     
131072     5.39100       5.16200       5.16200       5.16300       5.16300       5.16300       16.15500      15.46800      15.47000      15.47200      15.47200      15.47200     
262144     5.19300       5.13600       5.13200       5.13700       5.13700       5.13700       15.56200      15.39200      15.37900      15.39200      15.39400      15.39400     
524288     4.92000       4.95200       5.07100       5.06500       5.07700       5.08000       14.74500      14.84000      15.19500      15.17700      15.21300      15.22300     
1048576    4.29000       3.99100       4.24900       4.44100       4.45000       4.49500       12.85700      11.96000      12.73400      13.30900      13.33600      13.46900     
2097152    2.23900       1.13400       1.11500       1.57200       2.07900       2.11600       6.71000       3.39800       3.34100       4.71100       6.23100       6.34000      
4194304    2.19300       0.00100       0.00000       0.00000       0.00000       0.00000       6.57200       0.00200       0.00000       0.00000       0.00000       0.00000      
8388608    0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00100       0.00100       0.00000       0.00000       0.00000       0.00000      
