size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       19.74900      15.28400      15.81800      17.44400      45.35100      0.00000       59.18100      45.79900      47.40000      52.27100      135.89700     0.00000      
2048       16.52200      14.01000      14.52500      15.23400      16.57900      40.61900      49.51100      41.98100      43.52500      45.65000      49.68000      121.71800    
4096       14.40600      12.12300      12.06600      12.21500      12.33600      12.62500      43.16800      36.32700      36.15700      36.60400      36.96500      37.83200     
8192       13.24700      11.83900      11.84700      11.92300      12.14300      12.29200      39.69500      35.47700      35.50100      35.72900      36.38900      36.83500     
16384      11.18700      11.33000      11.76400      11.79600      11.87300      12.09400      33.52400      33.95300      35.25200      35.34900      35.58000      36.24100     
32768      8.02100       9.03800       10.64600      11.71300      11.74700      11.82300      24.03400      27.08200      31.90200      35.09800      35.20000      35.42900     
65536      5.66800       5.29100       5.32900       8.22500       11.61800      11.65000      16.98600      15.85500      15.97000      24.64800      34.81400      34.91000     
131072     5.38800       5.13200       5.14500       5.28800       8.09700       11.41200      16.14500      15.37800      15.41700      15.84700      24.26400      34.19600     
262144     5.19300       5.12200       5.11700       5.13200       5.23400       7.75700       15.56300      15.34700      15.33500      15.37700      15.68600      23.24500     
524288     4.92100       4.94500       5.06600       5.06700       5.07700       5.11900       14.74500      14.81900      15.18000      15.18300      15.21300      15.34000     
1048576    4.29100       4.09100       4.37800       4.62900       4.63600       4.64700       12.85700      12.25900      13.11800      13.87000      13.89400      13.92400     
2097152    2.23900       1.35200       1.36300       1.62900       1.93900       2.03500       6.71000       4.05000       4.08400       4.88300       5.80900       6.09900      
4194304    2.19300       0.00100       0.00000       0.00000       0.00000       0.00000       6.57300       0.00200       0.00000       0.00000       0.00000       0.00000      
8388608    0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00100       0.00100       0.00000       0.00000       0.00000       0.00000      
