size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       19.77700      14.60100      14.51700      14.50300      14.50200      0.00000       59.26500      43.75200      43.50300      43.46100      43.45600      0.00000      
2048       16.55400      13.69600      13.86900      14.06200      14.05400      14.04100      49.60500      41.04100      41.55900      42.13800      42.11500      42.07600     
4096       14.41600      12.58700      12.48700      12.40000      12.36400      12.36400      43.19800      37.71700      37.41900      37.15800      37.05000      37.05000     
8192       13.24600      12.35900      12.34000      12.34000      12.34000      12.34000      39.69300      37.03400      36.97900      36.97900      36.97900      36.97800     
16384      11.19000      11.23900      12.16100      12.24100      12.27000      12.29000      33.53100      33.67800      36.44100      36.68000      36.76900      36.82900     
32768      8.01600       7.79600       8.43700       6.98400       6.90500       7.96900       24.02100      23.36000      25.28300      20.92700      20.69200      23.88100     
65536      5.67200       5.31500       5.13600       5.13100       5.13100       5.13100       16.99600      15.92600      15.39200      15.37600      15.37600      15.37600     
131072     5.39100       5.12900       5.12800       5.12900       5.12900       5.12800       16.15500      15.37100      15.36800      15.37000      15.37000      15.36800     
262144     5.19300       5.12000       5.11700       5.11800       5.11900       5.11900       15.56200      15.34400      15.33200      15.33600      15.34100      15.34000     
524288     4.92000       4.94500       5.06500       5.06600       5.06800       5.07300       14.74500      14.81900      15.17900      15.18100      15.18800      15.20100     
1048576    4.29000       4.09100       4.37700       4.62800       4.63600       4.64600       12.85700      12.25800      13.11600      13.86900      13.89200      13.92200     
2097152    2.23900       1.35100       1.36200       1.62900       1.93800       2.03500       6.71000       4.05000       4.08300       4.88200       5.80900       6.09800      
4194304    2.19300       0.00100       0.00000       0.00000       0.00000       0.00000       6.57200       0.00200       0.00000       0.00000       0.00000       0.00000      
8388608    0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00100       0.00100       0.00000       0.00000       0.00000       0.00000      
