size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       19.77700      15.19000      14.72000      14.62300      14.52700      0.00000       59.26500      45.51800      44.10900      43.81800      43.53200      0.00000      
2048       16.55400      14.06100      13.88400      13.83600      13.82600      14.14700      49.60500      42.13500      41.60400      41.46100      41.43200      42.39300     
4096       14.41600      13.23500      13.14100      13.14800      13.05100      13.08300      43.19800      39.66100      39.37800      39.40000      39.10700      39.20300     
8192       13.24600      12.55000      12.58800      12.52900      12.59000      12.62700      39.69300      37.60900      37.72200      37.54400      37.72800      37.83700     
16384      11.19000      10.71300      10.96800      10.88900      10.81000      11.04500      33.53100      32.10200      32.86600      32.62900      32.39200      33.09700     
32768      8.01600       7.57800       7.62800       7.36100       7.39400       7.48000       24.02100      22.70700      22.85700      22.05700      22.15800      22.41500     
65536      5.67200       5.65500       5.83000       5.80800       5.77100       5.75800       16.99600      16.94500      17.47000      17.40400      17.29200      17.25600     
131072     5.39100       5.17800       5.28300       5.39400       5.38000       5.34800       16.15500      15.51600      15.83000      16.16300      16.12000      16.02500     
262144     5.19300       5.12800       5.12100       5.16200       5.20200       5.17200       15.56200      15.36700      15.34500      15.47000      15.58700      15.50000     
524288     4.92000       4.87100       4.93700       4.91200       4.92200       4.92900       14.74500      14.59700      14.79300      14.71900      14.74900      14.77000     
1048576    4.29000       3.91500       4.00600       4.06900       4.04500       4.05200       12.85700      11.73000      12.00500      12.19300      12.12000      12.14200     
2097152    2.23900       1.18600       1.11100       1.15400       1.17500       1.17100       6.71000       3.55300       3.32900       3.45800       3.52100       3.51000      
4194304    2.19300       0.00100       0.00000       0.00000       0.00000       0.00000       6.57200       0.00200       0.00000       0.00100       0.00100       0.00100      
8388608    0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00100       0.00100       0.00000       0.00000       0.00000       0.00000      
