size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       19.95500      15.46300      16.04300      17.65100      27.42400      0.00000       59.50800      46.11300      47.84100      52.63700      81.78400      0.00000      
2048       16.73600      14.20500      14.61200      15.23400      16.50400      21.27300      49.91000      42.36000      43.57500      45.42900      49.21700      63.43900     
4096       14.58700      12.37800      12.14300      12.02800      12.07300      43.50100      36.91300      36.21200      35.86900      36.00400      0.00000       0.00000      
8192       13.41600      11.91900      11.77000      11.82200      11.88100      11.98100      40.00800      35.54600      35.10000      35.25300      35.42900      35.72800     
16384      11.31500      11.17400      11.67400      11.71700      11.79000      11.85000      33.74200      33.32200      34.81400      34.94300      35.16000      35.33700     
32768      8.07700       8.98600       10.11400      11.64900      11.69600      11.76800      24.08600      26.79800      30.16000      34.73800      34.87800      35.09500     
65536      5.67100       5.28600       5.30300       6.69000       11.60800      11.65300      16.91200      15.76400      15.81400      19.95100      34.61800      34.75200     
131072     5.38500       5.12200       5.13600       5.26500       6.56400       11.43900      16.06000      15.27600      15.31700      15.70200      19.57600      34.11400     
262144     5.17900       5.11100       5.10600       5.12200       5.21500       6.33900       15.44600      15.24200      15.22800      15.27300      15.55100      18.90400     
524288     4.89500       4.91700       5.04700       5.04900       5.06000       5.10000       14.59800      14.66300      15.05200      15.05700      15.08800      15.20800     
1048576    4.23000       4.03400       4.31600       4.57200       4.58500       4.59600       12.61400      12.02900      12.87200      13.63600      13.67300      13.70500     
2097152    2.19900       1.32700       1.33800       1.59900       1.90200       1.99700       6.55700       3.95800       3.99100       4.77000       5.67300       5.95500      
4194304    2.15400       0.00200       0.00100       0.00100       0.00100       0.00100       6.42300       0.00500       0.00400       0.00400       0.00400       0.00400      
8388608    0.00100       0.00100       0.00100       0.00100       0.00100       0.00100       0.00400       0.00400       0.00400       0.00400       0.00400       0.00400      
