size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       19.95500      15.20300      15.09300      15.05600      14.85700      0.00000       59.50800      45.33600      45.01000      44.89900      44.30600      0.00000      
2048       16.73600      14.16200      14.22400      14.33000      14.33600      49.91000      42.23300      42.41900      42.73400      42.75300      0.00000       0.00000      
4096       14.58700      13.28000      13.26500      13.22800      13.20500      43.50100      39.60400      39.55800      39.44800      39.37900      0.00000       0.00000      
8192       13.41600      12.85400      12.85100      40.00800      38.33300      38.32500      0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
16384      11.31500      11.49800      12.43900      12.50800      12.56600      33.74200      34.28900      37.09400      37.30000      37.47400      0.00000       0.00000      
32768      8.07700       8.08600       7.54800       6.85500       24.08600      24.11300      22.50900      20.44300      0.00000       0.00000       0.00000       0.00000      
65536      5.67100       5.33300       5.19400       5.19200       5.19200       16.91200      15.90500      15.48900      15.48300      15.48300      0.00000       0.00000      
131072     5.38500       5.15300       5.15400       5.15500       5.15500       16.06000      15.36700      15.36900      15.37200      15.37200      0.00000       0.00000      
262144     5.17900       5.12600       5.12200       5.12600       5.12700       5.12700       15.44600      15.28700      15.27400      15.28700      15.28900      15.28900     
524288     4.89500       4.92400       5.05200       5.04600       5.05800       14.59800      14.68400      15.06500      15.04600      15.08200      0.00000       0.00000      
1048576    4.23000       3.93500       4.19800       4.39500       4.40600       4.44600       12.61400      11.73500      12.51900      13.10700      13.13900      13.25900     
2097152    2.19900       1.11400       1.09500       1.54300       2.01500       2.06900       6.55700       3.32200       3.26600       4.60100       6.00800       6.16900      
4194304    2.15400       0.00200       0.00100       0.00100       0.00100       0.00100       6.42300       0.00500       0.00400       0.00400       0.00400       0.00400      
8388608    0.00100       0.00100       0.00100       0.00100       0.00100       0.00100       0.00400       0.00400       0.00400       0.00400       0.00400       0.00400      
