size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       19.95500      15.52000      16.07200      17.70800      45.90500      0.00000       59.50800      46.28200      47.92800      52.80900      136.89500     0.00000      
2048       16.73600      14.23300      14.74800      15.49300      16.83000      41.18500      49.91000      42.44500      43.98000      46.20300      50.19000      122.82100    
4096       14.58700      12.32200      12.26000      12.41000      12.57100      12.83900      43.50100      36.74600      36.56200      37.00900      37.48900      38.28900     
8192       13.41600      11.99400      12.03600      12.11300      12.33500      12.52400      40.00800      35.76800      35.89400      36.12300      36.78300      37.34900     
16384      11.31500      11.47200      11.91600      11.98300      12.06000      12.28300      33.74200      34.21100      35.53600      35.73500      35.96600      36.63100     
32768      8.07700       9.12400       10.77100      11.86400      11.93300      12.00900      24.08600      27.20900      32.12200      35.38000      35.58400      35.81200     
65536      5.67100       5.28700       5.32800       8.28900       11.76400      11.83000      16.91200      15.76700      15.88800      24.71900      35.08100      35.27800     
131072     5.38500       5.12200       5.13700       5.28400       8.14900       11.54400      16.06000      15.27600      15.31900      15.75800      24.30300      34.42600     
262144     5.17900       5.11100       5.10600       5.12200       5.22600       7.78800       15.44600      15.24200      15.22800      15.27500      15.58500      23.22600     
524288     4.89500       4.91700       5.04700       5.04900       5.06000       5.10300       14.59800      14.66300      15.05200      15.05700      15.08900      15.21700     
1048576    4.23000       4.03400       4.31600       4.57200       4.58500       4.59600       12.61400      12.02900      12.87200      13.63600      13.67300      13.70500     
2097152    2.19900       1.32700       1.33800       1.59900       1.90200       1.99700       6.55700       3.95800       3.99100       4.77000       5.67300       5.95500      
4194304    2.15400       0.00200       0.00100       0.00100       0.00100       0.00100       6.42300       0.00500       0.00400       0.00400       0.00400       0.00400      
8388608    0.00100       0.00100       0.00100       0.00100       0.00100       0.00100       0.00400       0.00400       0.00400       0.00400       0.00400       0.00400      
