size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       19.95500      14.79200      14.74500      14.74600      14.61700      0.00000       59.50800      44.11100      43.97200      43.97600      43.59200      0.00000      
2048       16.73600      13.88700      14.05700      14.22900      14.22200      14.21700      49.91000      41.41200      41.92100      42.43300      42.41200      42.39800     
4096       14.58700      12.76700      12.66000      12.56900      12.53100      12.53100      43.50100      38.07400      37.75500      37.48300      37.36900      37.36800     
8192       13.41600      12.52500      12.50700      12.50700      12.50600      12.50600      40.00800      37.35200      37.29700      37.29600      37.29600      37.29500     
16384      11.31500      11.37400      12.32300      12.40500      12.43500      12.45500      33.74200      33.91900      36.74800      36.99200      37.08200      37.14400     
32768      8.07700       7.85900       8.52100       7.01900       6.93600       8.02300       24.08600      23.43700      25.41000      20.93100      20.68600      23.92500     
65536      5.67100       5.31100       5.12800       5.12200       5.12200       5.12200       16.91200      15.83900      15.29200      15.27600      15.27500      15.27500     
131072     5.38500       5.12000       5.11900       5.12000       5.12000       5.11900       16.06000      15.27000      15.26600      15.26800      15.26800      15.26600     
262144     5.17900       5.11000       5.10600       5.10700       5.10900       5.10900       15.44600      15.23900      15.22600      15.23000      15.23600      15.23500     
524288     4.89500       4.91700       5.04700       5.04900       5.05100       5.05600       14.59800      14.66400      15.05200      15.05600      15.06200      15.07700     
1048576    4.23000       4.03400       4.31600       4.57200       4.58500       4.59500       12.61400      12.02900      12.87000      13.63500      13.67200      13.70300     
2097152    2.19900       1.32700       1.33800       1.59900       1.90200       1.99700       6.55700       3.95700       3.99000       4.76900       5.67300       5.95500      
4194304    2.15400       0.00200       0.00100       0.00100       0.00100       0.00100       6.42300       0.00500       0.00400       0.00400       0.00400       0.00400      
8388608    0.00100       0.00100       0.00100       0.00100       0.00100       0.00100       0.00400       0.00400       0.00400       0.00400       0.00400       0.00400      
