size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       19.95500      15.29200      14.94100      14.84700      14.75800      0.00000       59.50800      45.60300      44.55800      44.27700      44.01100      0.00000      
2048       16.73600      14.19000      14.07100      14.01700      14.01700      14.32100      49.91000      42.31800      41.96300      41.80200      41.80000      42.70800     
4096       14.58700      13.38300      13.31200      13.31900      13.21700      13.25300      43.50100      39.91000      39.69900      39.72000      39.41400      39.52100     
8192       13.41600      12.69400      12.75200      12.70100      12.75800      12.79300      40.00800      37.85400      38.02900      37.87700      38.04500      38.15200     
16384      11.31500      10.83400      11.09400      11.01700      10.94100      11.17700      33.74200      32.30700      33.08400      32.85300      32.62800      33.33200     
32768      8.07700       7.62300       7.68100       7.40400       7.43800       7.52700       24.08600      22.73300      22.90700      22.07900      22.18000      22.44700     
65536      5.67100       5.65200       5.83700       5.81600       5.77600       5.76400       16.91200      16.85600      17.40600      17.34300      17.22500      17.18800     
131072     5.38500       5.16600       5.27700       5.39100       5.37600       5.34400       16.06000      15.40700      15.73500      16.07600      16.03200      15.93500     
262144     5.17900       5.11900       5.10600       5.15100       5.19100       5.16200       15.44600      15.26400      15.22800      15.36000      15.48100      15.39500     
524288     4.89500       4.85000       4.91300       4.88900       4.89900       4.90700       14.59800      14.46400      14.65100      14.58000      14.60900      14.63300     
1048576    4.23000       3.86000       3.95100       4.01300       3.98900       3.99800       12.61400      11.51100      11.78100      11.96800      11.89600      11.92100     
2097152    2.19900       1.16500       1.09200       1.13500       1.15500       1.15200       6.55700       3.47500       3.25600       3.38500       3.44500       3.43600      
4194304    2.15400       0.00200       0.00200       0.00200       0.00200       0.00200       6.42300       0.00600       0.00500       0.00500       0.00500       0.00600      
8388608    0.00100       0.00200       0.00100       0.00100       0.00100       0.00100       0.00400       0.00700       0.00400       0.00400       0.00400       0.00400      
