size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       16.98000      12.48700      11.87900      12.43300      18.63100      0.00000       50.23700      36.94200      35.14600      36.78500      55.12200      0.00000      
2048       12.56600      9.01900       9.37900       9.67900       10.65300      17.04800      37.17800      26.68300      27.74800      28.63700      31.51800      50.43900     
4096       8.56200       5.33700       6.13900       8.34400       8.90900       9.92800       25.33100      15.78900      18.16300      24.68600      26.35900      29.37300     
8192       7.00100       4.34100       4.30000       4.81100       7.25700       7.85500       20.71200      12.84400      12.72100      14.23400      21.47100      23.24000     
16384      2.91900       3.06000       3.26100       3.34300       3.57800       4.63900       8.63700       9.05300       9.64700       9.88900       10.58600      13.72500     
32768      2.56200       0.99900       1.16700       0.83900       0.83800       0.87400       7.57900       2.95500       3.45100       2.48300       2.47900       2.58600      
65536      2.11500       0.50900       0.10100       0.07400       0.07000       0.07500       6.25700       1.50700       0.30000       0.21800       0.20700       0.22300      
131072     0.10800       0.09900       0.05900       0.06000       0.06200       0.06300       0.31900       0.29200       0.17500       0.17600       0.18400       0.18700      
262144     0.08000       0.05700       0.05700       0.05700       0.05700       0.06000       0.23700       0.16900       0.16700       0.16800       0.17000       0.17800      
524288     0.05600       0.05600       0.05600       0.05600       0.05700       0.05700       0.16700       0.16500       0.16600       0.16600       0.16800       0.17000      
1048576    0.05600       0.05600       0.05600       0.05600       0.05600       0.05700       0.16600       0.16500       0.16500       0.16600       0.16600       0.16800      
2097152    0.05600       0.05600       0.05600       0.05600       0.05600       0.05600       0.16600       0.16500       0.16500       0.16500       0.16600       0.16600      
4194304    0.05600       0.05600       0.05600       0.05600       0.05600       0.05600       0.16600       0.16500       0.16500       0.16500       0.16500       0.16600      
8388608    0.05600       0.05600       0.05600       0.05600       0.05600       0.05600       0.16600       0.16500       0.16500       0.16500       0.16500       0.16500      
